Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-05-05 09:00:00-04:00	0.36		
2026-02-13 06:00:00-05:00	0.44	0.5	12.92
2025-11-05 07:00:00-05:00	0.32		-100.0
2025-07-31 07:00:00-04:00	0.52	0.71	37.59
2025-05-01 07:00:00-04:00	0.19	0.16	-17.52
2025-02-20 07:00:00-05:00	0.32	0.36	12.9
2024-11-07 06:00:00-05:00	0.25	-0.01	-104.07
2024-07-31 06:00:00-04:00	0.26	0.14	-45.33
2024-04-30 06:00:00-04:00	0.34	0.13	-61.9
2024-02-08 07:00:00-05:00	0.25	0.21	-15.98
2023-10-31 07:00:00-04:00	0.13	0.32	140.01
2023-08-02 06:00:00-04:00	0.13	-0.01	-108.0
2023-04-28 07:00:00-04:00	0.22	0.27	21.15
2023-02-09 06:00:00-05:00	0.05	0.09	65.78
2022-10-27 07:00:00-04:00	-0.01	0.03	300.0
2022-07-27 07:00:00-04:00	0.02	0.18	981.73
2022-05-05 07:00:00-04:00	-0.02	0.04	346.15
2022-02-09 06:00:00-05:00	0.01	0.06	601.75
2021-10-29 07:00:00-04:00	-0.04	-0.14	-261.29
2021-07-28 06:00:00-04:00	-0.06	-0.1	-53.85
2021-05-07 07:00:00-04:00	-0.1	-0.07	30.0
2021-02-10 06:00:00-05:00	-0.05	0.12	333.33
2020-11-04 07:00:00-05:00	-0.05	-0.2	-278.36
2020-07-29 02:00:00-04:00	-0.05	-0.16	-236.84
2020-05-01 08:00:00-04:00	-0.02	0.07	429.41
