	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Average Dilution Earnings	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Write Off	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Other Taxes	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Non Current Deferred Liabilities	Non Current Deferred Revenue	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Debt	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Construction In Progress	Machinery Furniture Equipment	Properties	Current Assets	Other Current Assets	Prepaid Assets	Inventory	Receivables	Other Receivables	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Capital Stock	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Depreciation Amortization Depletion	Depreciation And Amortization	Amortization Cash Flow	Amortization Of Intangibles	Depreciation	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2023-09-30																																																																																																																																															149110000	573357000	424247000	424247000	94092000	47872000.0	7146000	55018000		-8684000.0	3700000.0	3646000.0				974000	85408000	3999000		81409000.0		85408000	86382000	39253000	2033558000.0	1338780000.0	372918000.0	372918000.0	294235000.0	651466000.0	694778000.0			1195999.0	1195999.0	265153000.0			98000000.0	20161000.0		1358449000.0	772210000.0	403478000.0			67306000.0	586239000.0		145557000.0			145557000.0	132825000.0	440682000.0	-2641021000.0		-3313137000.0	14000.0	147141142	26910000					974000	712000				-712000	-8361000											-552009000.0		18216000.0				0.65	0.36	0.29	80.5556	
2023-06-30																																																																																																																																															113744000	479543000	365799000	365799000	73880000	34235000.0	5629000	39864000		-1134000.0		3102000.0				1046000	72746000	9101000		63645000.0		72746000	73792000	20429000	1656872000.0	1116806000.0	355081000.0	355081000.0	211556000.0	542874000.0	540066000.0			1257999.0	1257999.0	265153000.0				7295000.0		1099725000.0	676138000.0	293451000.0			79329000.0	423586999.0		147289000.0			147289000.0	131647000.0	276298000.0	-3352375000.0		-3352390000.0	15000.0	146868852	225767000					1046000	694000				-694000	0													8641000.0				0.48	0.3	0.18	60.0	
2023-03-31																																																																																																																																															90312000	518395000	428083000	428083000	40582000	41394000.0	8336000	49730000		-520000.0		598000.0				1032000	40062000	12532000		27530000.0		42023000	43055000	25084000	1419680000.0	872265000.0	130008000.0	130008000.0	167357000.0	569119000.0	547415000.0			1320999.0	1320999.0	265153000.0			29300000.0	5781000.0		934819000.0	507426000.0	223594000.0			1900000.0	427393000.0		147147000.0			150547000.0	105459000.0	280246000.0	-3075767000.0		-3075782000.0	15000.0	145834762	35287000					1032000	530000		25062000.0		-530000	-4830000					150076000.0	150076000.0					-693781000.0		29204000.0				0.2	0.32	-0.12	-37.5	
2022-12-31																																																																																																																																															82259000	513370000	431111000	431111000	58662000	18613000.0	4984000	23597000		2366000.0	2366000.0	2366000.0				949000	61028000	18442000		42586000.0		61028000	61977000	42586000	1259695000.0	946437000.0	100081000.0	100081000.0	273798000.0	553465000.0	313257999.0	7910000.0		1382999.0	1382999.0	265153000.0				19093000.0		640519000.0	604612000.0	352539000.0			85374000.0	35907000.0						78854000.0	35907000.0	619176000.0		96258000.0	96258000.0	45869190	19921000					949000	1318000				-1318000	-2731000											0.0		940000.0				0.09	0.0	0.09		
2022-09-30																																																																																																																																															64539000	467142000	402603000	402603000	39472000	20745000.0	4322000	25067000		-1309000.0						1376000	38163000	11076000		27087000.0		38163000	39539000	27087000	1287758000.0	978666000.0	84209000.0	84209000.0	278324000.0	564684000.0	309092000.0	7509000.0		1445999.0	1445999.0	265153000.0			38300000.0	51449000.0		684690000.0	651766000.0	404196000.0			105701000.0	32924000.0						77796000.0	12724000.0	603068000.0		86400000.0	86400000.0	41879190	49667000					1376000	908000				-884000	4298000													845000.0								
2022-06-30																																																																																																																																															49863000	403230000	353367000	353367000	29769000	16117000.0	3977000	20094000		61000.0	61000.0					1269000	29830000	5700000		24130000.0		29830000	31099000	24130000	1129505000.0	821325000.0	31128000.0	31128000.0	225611000.0	517131999.0	308180000.0			1986999.0	1986999.0	265153000.0			38300000.0	47454000.0		602386000.0	560843000.0	315178000.0			-135126000.0	41543000.0					145557000.0	110539000.0		527119000.0		16701000.0	16701000.0	41879190	2794000					1269000	427000				-427000	-309000													1005000.0				0.17	0.0	0.17		
2022-03-31																																																																																																																																															38952000	439813000	400861000	400861000	7577000	27799000.0	3576000	31375000		-428000.0		1134000.0				1257000	7149000	1355000		5794000.0		20520000	21777000	5794000	1017289000.0	708762000.0	29070000.0	29070000.0	181508000.0	460710000.0	308527000.0			2527999.0	2527999.0	265153000.0			9300000.0	37474000.0		516155999.0	473371000.0	305910000.0			1800000.0	42784999.0					4500000.0	87795000.0	13185000.0	501133000.0		-3035000.0		43874190	-41371000					1257000	794000		-87736000.0		-794000	6216000													826000.0								
2021-12-31																																																																																																																																															33764000	337607000	303843000	303843000	17106000	13009000.0	3649000	16658000		-91000.0						1175000	17015000	4469000		12546000.0		17015000	18190000	12546000	1017289000.0	714062000.0	29070000.0	29070000.0	172208000.0	460710000.0	303227000.0			2528000.0	2528000.0	265153000.0			9300000.0	42774000.0		1020324000.0	473371000.0	266596000.0			65490000.0	546953000.0					147147000.0	63419000.0		-3035000.0		-3075782000.0	15000.0	41879190	-74555000					1175000	1684000				-1684000	11550000													842000.0								
2021-09-30																																																																																																																																															36716000	338699000	301983000	301983000	20079000		3392000	16637000								4288000	19878000	3974000				19878000	24166000	15904000	944915000.0	651731000.0	129708000.0	129708000.0	108322000.0	339984000.0	293184000.0			3610000.0	3610000.0	265153000.0				73717000.0		481337000.0	438235000.0	246823000.0				43102000.0						191412000.0		463578000.0			463578000.0	45869190	2220000					4288000	2571000				-2571000	-61193000													839000.0				0.11	0.0	0.11		
2021-06-30																																																																																																																																															37599000	341473000	303874000	303874000	21145000		3559000	16454000								4426000	21066000	4397000				21066000	25492000	16669000	976958000.0	682448000.0	191252000.0	191252000.0	94463000.0	335387000.0	294510000.0			7260000.0	7260000.0	265153000.0				61346000.0		468930000.0	427866000.0	232527000.0				41064000.0						195339000.0		508028000.0			508028000.0	45869190	-33406999					4426000	868000				-701000	34771000													541000.0								
2021-03-31																																																																																																																																															59472000	304828000	245356000	245356000	41581500		3616500	17890500								4239500	41474500	8839500				41581500	45821000	32635000	880969000.0	583253000.0	190589000.0	190589000.0	84472000.0	268210000.0	297716000.0			10993000.0	10993000.0	265153000.0				39982000.0		424922000.0	391351000.0	231460000.0			1500000.0	33571000.0					4500000.0	158391000.0		456047000.0			456047000.0	42202097	35119000					4239500	778000		-11643500.0		-1028000	59894000					165698000.0	165698000.0							1145500.0								
2020-12-31																																																																																																																																															59472000	304828000	245356000	245356000	41581500		3616500	17890500								4239500	41474500	8839500				41581500	45821000	32635000	880969000.0	583253000.0	190589000.0	190589000.0	84472000.0	268210000.0	297716000.0			10993000.0	10993000.0	265153000.0				39982000.0		424922000.0	391351000.0	231460000.0			1500000.0	33571000.0					4500000.0	158391000.0		456047000.0			456047000.0	45869190	35119000					4239500	778000		-11643500.0		-1028000	59894000					165698000.0	165698000.0							1145500.0								
2020-09-30																																																																																																																																															61346000	289755000	228409000	228409000	41532000		3346000	19814000								4171000	41306000	8804000				41532000	45703000	32502000																																				45869190	26671000					4171000	495000				-495000	-28482000													1154000.0								
2020-06-30																																																																																																																																															51691000	296206000	244515000	244515000	33836000		2429000	17855000								4159000	33774000	7198000				33836000	37995000	26576000		2950000.0	-2950000.0	-2950000.0			-2950000.0								5900000.0																	231064000.0				45869190	-2636000					4159000	412000				-412000	5023000													861000.0								
