Date	Metric_Type	Name	Value	Sector	Country	Impact
2026-03-15	Policy_Update	Panama Canal Drought Surcharges	0.12	Shipping, Ag, General Cargo	Global	Medium
2026-03-10	Policy_Update	North American Free Trade Renegotiation Tariffs	0.1	Agriculture, Autos	Canada, Mexico	Medium
2026-02-28	Policy_Update	Middle-East Tanker Premium/Surcharge	0.15	Energy, Crude Tankers	Global	High
2026-02-15	Policy_Update	US-China Import Tariffs Escalation	0.25	Consumer Electronics, Auto Parts	China	High
2025-02-01	Policy_Update	Canadian Import Tariffs	0.25	Energy, Timber	Canada	Medium
2025-02-01	Policy_Update	Mexican Import Tariffs	0.25	Autos, Agriculture	Mexico	Medium
2025-01-29	Policy_Update	BRICS Core Tariffs	1.0	Metals, Rare Earths	BRICS	High
2025-01-20	Policy_Update	Additional China Import Tariff	0.6	All Goods	China	Severe
2025-01-20	Policy_Update	Universal Baseline Tariff	0.1	All Goods	Global	Very High
2024-08-01	Policy_Update	Semiconductor Tariffs	0.5	Tech, Semiconductors	China	High
2024-05-14	Policy_Update	Section 301 EV Tariffs	1.0	Autos, Batteries	China	High
2024-05-14	Policy_Update	Section 301 Solar/Steel Tariffs	0.25	Energy, Metals	China	Medium
