Date	Shares	Amount	BuyFlag
2026-01-26	156902.0	7796666.0	0
2026-01-28	25000.0	1260000.0	0
2026-02-25	25000.0	1300000.0	0
2026-03-25	27000.0	1368200.0	0
2026-03-26	2000.0	103900.0	0
2026-04-29	25000.0	1412000.0	0
2026-05-01	53379.0	2998766.01	0
2026-05-07	2000.0	108660.0	0
2026-05-27	25000.0	1424750.0	0
