	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Average Dilution Earnings	Net Income Common Stockholders	Otherunder Preferred Stock Dividend	Net Income	Net Income Including Noncontrolling Interests	Net Income Discontinuous Operations	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Impairment Of Capital Assets	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Selling And Marketing Expense	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Liabilities Heldfor Sale Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Pensionand Other Post Retirement Benefit Plans Current	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Investments And Advances	Long Term Equity Investment	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Other Properties	Machinery Furniture Equipment	Properties	Current Assets	Other Current Assets	Assets Held For Sale Current	Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Interest Paid Supplemental Data	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Cash Flow From Discontinued Operation	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Proceeds From Stock Option Exercised	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Purchase Of Investment	Net Business Purchase And Sale	Sale Of Business	Net Intangibles Purchase And Sale	Purchase Of Intangibles	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Prepaid Assets	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Asset Impairment Charge	Depreciation Amortization Depletion	Depreciation And Amortization	Amortization Cash Flow	Amortization Of Intangibles	Operating Gains Losses	Gain Loss On Sale Of Business	Net Income From Continuing Operations
2026-03-31	0.0	0.157743	1516232000.0			1205613000.0	33665000.0	203632000.0	1516232000.0	1482567000.0	-51159000.0	51159000.0		1205613000.0	1205613000.0	402516000.0	1439933000.0	338729000.0	337399000.0	3.56	3.57	1205613000.0	0.0	1205613000.0	0.0	1205613000.0	1205613000.0	0.0	1205613000.0	225795000.0	1431408000.0	42634000.0	42634000.0			-51159000.0	51159000.0		1439933000.0	198884000.0	94104000.0	104780000.0	60751000.0	44029000.0	44029000.0	1638817000.0	203632000.0	1842449000.0	1842449000.0	336294916.0	336294916.0	755351000.0	3514022000.0	471437000.0	5877505000.0	3353193000.0	471437000.0		2363483000.0	5877505000.0	2363483000.0	2363483000.0	-67767000.0	-67767000.0	1926897000.0	504342000.0	11000.0	11000.0	0.0	5344222000.0	3849840000.0	335818000.0		3514022000.0		3514022000.0	1494382000.0								1494382000.0	796858000.0	697524000.0		697524000.0	7707705000.0	2860130000.0	564595000.0	288669000.0	288669000.0	1892046000.0	368996000.0	1523050000.0	114820000.0		114820000.0		114820000.0			4847575000.0	130881000.0		1958023000.0	1958023000.0	2758671000.0	2758671000.0	1291393000.0	-981723000.0		0.0		1690000.0	106677000.0	2758671000.0	2487096000.0	-2339000.0	273914000.0	0.0	-1012232000.0	-1012232000.0	-30509000.0		-981723000.0	-981723000.0	0.0	0.0		0.0	-5247000.0	-5247000.0	-5247000.0	0.0	0.0					1291393000.0	1291393000.0	-14779000.0	133146000.0	182702000.0	-49556000.0	-49556000.0	-9827000.0	-138098000.0	-138098000.0	-16478000.0	83372000.0	0.0	33665000.0	33665000.0	33665000.0	33665000.0			1205613000.0
2025-12-31	0.0	0.120555	1337380000.0			1102256000.0	32736000.0	183529000.0	1337380000.0	1304644000.0	-51290000.0	51290000.0		1102256000.0	1102269000.0	382701000.0	1275243000.0	339898000.0	338159000.0	3.24	3.26	1102207000.0	0.0	1102207000.0	62000.0	1102269000.0	1102269000.0	13000.0	1102256000.0	151098000.0	1253354000.0	29401000.0	29401000.0			-51290000.0	51290000.0		1275243000.0	199172000.0	82220000.0	116952000.0	48776000.0	68176000.0	68176000.0	1474415000.0	183529000.0	1657944000.0	1657944000.0	338313000.0	338313000.0	1025891000.0	3544741000.0	197971000.0	5647658000.0	3097004000.0	197971000.0	31754000.0	2134671000.0	5647658000.0	2134671000.0	2134671000.0	-46987000.0	-46987000.0	1735097000.0	446550000.0	11000.0	11000.0	0.0	5124939000.0	3791151000.0	260353000.0	0.0	3530798000.0	17811000.0	3512987000.0	1333788000.0		47682000.0	47682000.0	13943000.0	13943000.0		18335000.0	1253828000.0	55257000.0	1198571000.0	451594000.0	746977000.0	7259610000.0	2828818000.0	456550000.0	287666000.0	287666000.0	1936700000.0	396714000.0	1539986000.0	147902000.0	-117567000.0	265469000.0	17608000.0	237665000.0	10196000.0	0.0	4430792000.0	124330000.0	0.0	1819366000.0	1819366000.0	2487096000.0	2487096000.0	1285416000.0	-417615000.0	-18669000.0	0.0		97765000.0	27552000.0	2487096000.0	1666899000.0	506000.0	819691000.0	0.0	-493215000.0	-493215000.0	-61246000.0	4315000.0	-417615000.0	-417615000.0	-18669000.0	-18669000.0	-18669000.0	0.0	-828000.0	-828000.0	27490000.0	0.0	0.0	0.0	0.0			1313734000.0	1313734000.0	107867000.0	288384000.0	57967000.0	230417000.0	230417000.0	50184000.0	-215472000.0	-215472000.0	-189546000.0		50000000.0	32736000.0	32736000.0	32736000.0	32736000.0	0.0	0.0	1102256000.0
2025-09-30	0.0	0.181597	1107477000.0			835545000.0	35102000.0	174855000.0	1107477000.0	1072375000.0	-51429000.0	51429000.0		835545000.0	835545000.0	326038000.0	1079007000.0	340974000.0	338531000.0	2.45	2.47	835495000.0	0.0	835495000.0	50000.0	835545000.0	835545000.0	0.0	835545000.0	185401000.0	1020946000.0	-6632000.0	-6632000.0			-51429000.0	51429000.0		1079007000.0	151183000.0	43852000.0	107331000.0	48575000.0	58756000.0	58756000.0	1230190000.0	174855000.0	1405045000.0	1405045000.0	338534000.0	338534000.0	1845066000.0	3511965000.0	-488837000.0	4985885000.0	2414433000.0	-488837000.0		1473920000.0	4985885000.0	1473920000.0	1473920000.0	-2659000.0	-2659000.0	1048570000.0	427998000.0	11000.0	11000.0	0.0	4869115000.0	3795982000.0	284017000.0	0.0	3511965000.0		3511965000.0	1073133000.0		45748000.0	45748000.0					1027385000.0	510947000.0	516438000.0		516438000.0	6343035000.0	2855469000.0	761897000.0			1962757000.0	421868000.0	1540889000.0	130815000.0		130815000.0		130815000.0			3487566000.0	216714000.0	0.0	1603953000.0	1603953000.0	1666899000.0	1666899000.0	1053422000.0	-501900000.0	0.0	0.0		1470000.0	66670000.0	1666899000.0	1192608000.0	757000.0	473534000.0	0.0	-560260000.0	-560260000.0	-64550000.0	6190000.0	-501900000.0	-501900000.0	0.0	0.0	0.0	0.0	-19628000.0	-19628000.0	-723000.0	-1500000.0	-1500000.0	-17405000.0	-17405000.0			1053422000.0	1053422000.0	110364000.0	81777000.0	118748000.0	-36971000.0	-36971000.0	63783000.0	-35196000.0	-35196000.0	72411000.0		0.0	35102000.0	35102000.0	35102000.0	35102000.0	0.0	0.0	835545000.0
2025-06-30	0.0	0.126864	982466000.0			771856000.0	47053000.0	155076000.0	982466000.0	935413000.0	-51409000.0	51409000.0		771856000.0	819531000.0	301072000.0	957682000.0	342194433.0	338617184.0	2.39	2.42	819327000.0	2000.0	819325000.0	206000.0	819531000.0	819531000.0	47675000.0	771856000.0	112148000.0	884004000.0	-22269000.0	-22269000.0			-51409000.0	51409000.0		957682000.0	145996000.0	44032000.0	101964000.0	46917000.0	55047000.0	55047000.0	1103678000.0	155076000.0	1258754000.0	1258754000.0	338782503.0	338782503.0	2318350000.0	3510958000.0	-820353000.0	4678085000.0	1898804000.0	-820353000.0		1167127000.0	4678085000.0	1167127000.0	1167127000.0	-5149000.0	-5149000.0	723366000.0	448899000.0	11000.0	11000.0	0.0	4792370000.0	3698485000.0	187527000.0	0.0	3510958000.0		3510958000.0	1093885000.0		44975000.0	44975000.0					1048910000.0	495218000.0	553692000.0		553692000.0	5959497000.0	2966808000.0	849728000.0			1987480000.0	448179000.0	1539301000.0	129600000.0		129600000.0		129600000.0			2992689000.0	218402000.0	0.0	1581679000.0	1581679000.0	1192608000.0	1192608000.0	772226000.0	-271518000.0	-200000000.0	0.0		97161000.0	95024000.0	1192608000.0	542516000.0	5187000.0	644905000.0	8508000.0	-537377000.0	-537377000.0	-80683000.0	9495000.0	-271518000.0	-271518000.0	-200000000.0	-200000000.0	-200000000.0	0.0	401548000.0	401548000.0	-23154000.0	0.0	0.0					772226000.0	772226000.0	-57405000.0	-5788000.0	-12283000.0	6495000.0	6495000.0	72552000.0	-124169000.0	-124169000.0	130557000.0		0.0	47053000.0	47053000.0	47053000.0	47053000.0			819531000.0
2025-03-31	0.0	0.089438	927381000.0	-188943000.0	-188943000.0	723538000.0	79887000.0	151680000.0	927381000.0	847494000.0	-52888000.0	52888000.0		723538000.0	576419000.0	318992000.0	839982000.0	344878000.0	339837000.0	1.67	1.7	576277000.0	2000.0	576275000.0	144000.0	576419000.0	576419000.0	-147119000.0	723538000.0	71068000.0	794606000.0	7512000.0	7512000.0	-188943000.0	188943000.0	-52888000.0	52888000.0		839982000.0	167312000.0	56406000.0	110906000.0	59383000.0	51523000.0	51523000.0	1007294000.0	151680000.0	1158974000.0	1158974000.0	338361559.0	338361559.0	3158940000.0	3709964000.0	-1919421000.0	4285385000.0	958110000.0	-1919421000.0		575421000.0	4085385000.0	575421000.0	575421000.0	-73185000.0	-73185000.0	173953000.0	474642000.0	11000.0	11000.0	0.0	5131280000.0	3722056000.0	212092000.0		3509964000.0		3509964000.0	1409224000.0		72624000.0	72624000.0	200000000.0		200000000.0		1136600000.0	541381000.0	595219000.0		595219000.0	5706701000.0	3339367000.0	682870000.0			2494842000.0	855046000.0	1639796000.0	161655000.0		161655000.0		161655000.0			2367334000.0	238498000.0		1577812000.0	1577812000.0	551024000.0	551024000.0	831712000.0	-1000911000.0	0.0	200000000.0		2392000.0	5597000.0	542516000.0	697030000.0	2782000.0	-157296000.0	35873000.0	-1002217000.0	-1002217000.0	-201306000.0	5329000.0	-1000911000.0	-1000911000.0	200000000.0	200000000.0	0.0	200000000.0	-22664000.0	-22664000.0	-3986000.0	-18678000.0	-18678000.0					831712000.0	831712000.0	-82904000.0	136339000.0	103794000.0	32545000.0	32545000.0	-51861000.0	-167382000.0	-167382000.0	8086000.0	61281000.0	188943000.0	79887000.0	79887000.0	79887000.0	79887000.0			576419000.0
2024-12-31																																																										45627000.0															1414000.0		31101000.0			137113000.0	37053000.0	37053000.0	14526000.0	14526000.0		49559000.0				263703000.0					0.0	0.0					-90646000.0		17666000.0		10747000.0	0.0			191355000.0							-3559344000.0													12998000.0					-3559344000.0																						93833000.0								
2024-09-30													7948000.0																									7948000.0																																											35563000.0		35563000.0																																	-3200000.0																									-3200000.0	-3200000.0												81557000.0								
