Date	Shares	Amount	BuyFlag
2025-09-11	20000.0	7275100.0	0
2025-09-12	2568732.0	999959042.367	1
2025-09-15	60000.0	25360800.0	0
2025-12-08	2637.0	1170635.499	0
2025-12-09	56820.0	25606501.200000003	0
2026-01-02	60000.0	26723781.418	0
