Metric	Value
returnOnEquity	0.24712999
revenueGrowth	0.108
revenuePerShare	21.274
sector	Basic Materials
sectorDisp	Basic Materials
sectorKey	basic-materials
sharesOutstanding	2539105827
sharesPercentSharesOut	0.0058999998
sharesShort	15089550
sharesShortPreviousMonthDate	1769731200
sharesShortPriorMonth	18036517
shortName	BHP Group Limited
shortPercentOfFloat	0.0058999998
shortRatio	3.16
sourceInterval	15
state	VIC
symbol	BHP
targetHighPrice	88.0
targetLowPrice	48.0
targetMeanPrice	65.57143
targetMedianPrice	67.0
totalCash	13509000192
totalCashPerShare	2.661
totalDebt	29195999232
totalRevenue	53987999744
tradeable	False
trailingAnnualDividendRate	1.33
trailingAnnualDividendYield	0.020370655
trailingEps	4.21
trailingPE	16.2019
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	58.79965
twoHundredDayAverageChange	9.410351
twoHundredDayAverageChangePercent	0.16004093
typeDisp	Equity
volume	4326181
website	https://www.bhp.com
zip	3000
