	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Operating Income	Operating Expense	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Long Term Provisions	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Other Properties	Machinery Furniture Equipment	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Prepaid Assets	Inventory	Receivables	Other Receivables	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Interest Paid Supplemental Data	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net PPE Purchase And Sale	Sale Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Tax Payable	Change In Income Tax Payable	Change In Prepaid Assets	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Provisionand Write Offof Assets	Depreciation Amortization Depletion	Depreciation And Amortization	Operating Gains Losses	Gain Loss On Sale Of PPE	Net Income From Continuing Operations
2025-09-30	0.0	0.024537	3278000.0	1902000.0	932000.0	19642000.0	3278000.0	2346000.0	-512000.0	512000.0	1902000.0	1902000.0	23400000.0	2346000.0	3899000.0	3899000.0	0.49	0.49	1902000.0	1902000.0	1902000.0	113000.0	1789000.0	1789000.0	45000.0	1834000.0			-512000.0	512000.0	2346000.0	3758000.0	932000.0	932000.0	2826000.0	6104000.0	19642000.0	25746000.0	25746000.0	3899431.0	3899431.0	27443000.0	34654000.0	38711000.0	70705000.0	275000.0	38711000.0	2660000.0	38711000.0	70101000.0	37366000.0	-1345000.0	38711000.0	-20534000.0	59206000.0	39000.0	39000.0	53320000.0	33425000.0	33325000.0	1935000.0	31390000.0	100000.0	19895000.0	2005000.0	4587000.0	4587000.0	1329000.0	725000.0	604000.0	604000.0	11974000.0	1731000.0	10243000.0	638000.0	9605000.0	90686000.0	70516000.0	8727000.0	27000.0	27000.0	61762000.0	-49552000.0	111314000.0	202000.0	15315000.0	23861000.0	54865000.0	17071000.0	0.0	20170000.0	15000.0	606000.0	1686000.0	13312000.0	814000.0	12498000.0	-285000.0	12783000.0	4551000.0	4551000.0	852000.0	-287000.0		-601000.0	524000.0	1000.0	13250000.0	12685000.0	565000.0	-287000.0	-287000.0	-287000.0	-287000.0	-287000.0		-601000.0	-601000.0	0.0	0.0	-601000.0	1453000.0	1453000.0	-1321000.0	-1147000.0	-301000.0	-2000.0	2245000.0	203000.0	2042000.0	1855000.0	187000.0	187000.0	169000.0	121000.0	-2406000.0	-2629000.0	15000.0		38000.0	932000.0	932000.0		0.0	1789000.0
2025-06-30	0.0	0.120833	1715000.0	274000.0	965000.0	16084000.0	1715000.0	750000.0	-510000.0	510000.0	274000.0	274000.0	19502000.0	750000.0	3899000.0	3899000.0	0.07	0.07	274000.0	274000.0	274000.0	63000.0	211000.0	211000.0	29000.0	240000.0			-510000.0	510000.0	750000.0	3418000.0	965000.0	965000.0	2453000.0	4168000.0	16084000.0	20252000.0	20252000.0	3899431.0	3899431.0	28424000.0	34707000.0	36809000.0	68947000.0	-1652000.0	36809000.0	2569000.0	36809000.0	68353000.0	35577000.0	-1232000.0	36809000.0	-22436000.0	59206000.0	39000.0	39000.0	52478000.0	33571000.0	33471000.0	1927000.0	31544000.0	100000.0	18907000.0	2306000.0	5734000.0	5734000.0	1236000.0	642000.0	594000.0	594000.0	9631000.0	1528000.0	8103000.0	451000.0	7652000.0	88055000.0	70800000.0	8997000.0	27000.0	27000.0	61776000.0	-48639000.0	110415000.0	1382000.0	15053000.0	22157000.0	54752000.0	17071000.0	0.0	17255000.0	15000.0	775000.0	1807000.0	10944000.0	1037000.0	9907000.0	-260000.0	10167000.0	3714000.0	3714000.0	2742000.0	-263000.0		-292000.0	529000.0	2000.0	12685000.0	10206000.0	2479000.0	-263000.0	-263000.0	-263000.0	-263000.0	-263000.0		-292000.0	-292000.0	0.0	0.0	-292000.0	3034000.0	3034000.0	1806000.0	600000.0	218000.0	8000.0	-501000.0	245000.0	-746000.0	-672000.0	-74000.0	-74000.0	332000.0	39000.0	1110000.0	1414000.0	15000.0		37000.0	965000.0	965000.0		0.0	211000.0
2025-03-31	0.0	0.21	-181000.0	-1499000.0	970000.0	13691000.0	-181000.0	-1151000.0	-510000.0	510000.0	-1499000.0	-1499000.0	17219000.0	-1151000.0	3899000.0	3899000.0	-0.38	-0.38	-1499000.0	-1499000.0	-1499000.0	187000.0	-1686000.0	-1686000.0	25000.0	-1661000.0			-510000.0	510000.0	-1151000.0	3528000.0	970000.0	970000.0	2558000.0	2377000.0	13691000.0	16068000.0	16068000.0	3899431.0	3899431.0	31011000.0	34715000.0	36535000.0	68815000.0	-2302000.0	36535000.0	2435000.0	36535000.0	68231000.0	35366000.0	-1169000.0	36535000.0	-22710000.0	59206000.0	39000.0	39000.0	52265000.0	33635000.0	33535000.0	1839000.0	31696000.0	100000.0	18630000.0	2089000.0	5134000.0	5134000.0	1180000.0	596000.0	584000.0	584000.0	10227000.0	1283000.0	8944000.0	525000.0	8419000.0	87631000.0	71303000.0	8971000.0	27000.0	27000.0	62305000.0	-47674000.0	109979000.0	1376000.0	15119000.0	21685000.0	54728000.0	17071000.0	0.0	16328000.0	15000.0	1107000.0	1846000.0	12091000.0	733000.0	11358000.0	-250000.0	11608000.0	1269000.0	1269000.0	-1372000.0	-183000.0		-390000.0	523000.0	4000.0	10206000.0	11761000.0	-1555000.0	-183000.0	-183000.0	-183000.0	-183000.0	-183000.0		-390000.0	-390000.0	0.0	0.0	-390000.0	-982000.0	-982000.0	-289000.0	1610000.0	64000.0	-1000.0	1352000.0	219000.0	1133000.0	1202000.0	-69000.0	-69000.0	-104000.0	-288000.0	-2922000.0	-2771000.0	15000.0		8000.0	970000.0	970000.0		0.0	-1686000.0
2024-12-31	0.0	0.055988	815000.0	-497000.0	949000.0	14552000.0	815000.0	-134000.0	-509000.0	509000.0	-497000.0	-497000.0	17779000.0	-134000.0					-497000.0	-497000.0	-497000.0	110000.0	-607000.0	-607000.0	-36000.0	-643000.0	0.0	0.0	-509000.0	509000.0	-134000.0	3227000.0	949000.0	949000.0	2278000.0	3093000.0	14552000.0	17645000.0	15386000.0	3899431.0	3899431.0	29618000.0	34712000.0	38034000.0	70455000.0	-907000.0	38034000.0	2291000.0	38034000.0	69880000.0	37052000.0	-982000.0	38034000.0	-21211000.0	59206000.0	39000.0	39000.0	49134000.0	33671000.0	33571000.0	1725000.0	31846000.0	100000.0	15463000.0	2024000.0	3524000.0	3524000.0	1141000.0	566000.0	575000.0	575000.0	8774000.0	1064000.0	7710000.0	594000.0	7116000.0	86186000.0	71630000.0	8991000.0	27000.0	27000.0	62612000.0	-46704000.0	109316000.0	1136000.0	14937000.0	21499000.0	54673000.0	17071000.0	0.0	14556000.0	15000.0	1003000.0	1558000.0	9177000.0	582000.0	8595000.0	-260000.0	8855000.0	2803000.0	2803000.0	-1127000.0	-199000.0	0.0	-548000.0	539000.0	34000.0	11761000.0	13087000.0	-1326000.0	-199000.0	-199000.0	-199000.0	-199000.0	-199000.0	0.0	-548000.0	-548000.0	0.0	0.0	-548000.0	-579000.0	-579000.0	-958000.0	-1147000.0	125000.0	1000.0	-1399000.0	-686000.0	-713000.0	-747000.0	34000.0	34000.0	-323000.0	155000.0	1630000.0	1367000.0	15000.0	0.0	41000.0	949000.0	949000.0	0.0	0.0	-607000.0
2024-09-30	0.0	0.023702	3249000.0	1840000.0	975000.0	18267000.0	3249000.0	2274000.0	-502000.0	502000.0	1840000.0	1840000.0	21961000.0	2274000.0	3899000.0	3899000.0	0.47	0.47	1840000.0	1840000.0	1840000.0	110000.0	1730000.0	1730000.0	42000.0	1772000.0			-502000.0	502000.0	2274000.0	3694000.0	975000.0	975000.0	2719000.0	5968000.0	18267000.0	24235000.0	24235000.0	3899431.0	3899431.0	28612000.0	34799000.0	38531000.0	71089000.0	-452000.0	38531000.0	2241000.0	38531000.0	70524000.0	37659000.0	-872000.0	38531000.0	-20714000.0	59206000.0	39000.0	39000.0	51459000.0	33805000.0	33705000.0	1712000.0	31993000.0	100000.0	17654000.0	1899000.0	4671000.0	4671000.0	1094000.0	529000.0	565000.0	565000.0	9990000.0	1750000.0	8240000.0	560000.0	7680000.0	89118000.0	71916000.0	9175000.0	8000.0	8000.0	62733000.0	-45729000.0	108462000.0	721000.0	14747000.0	21334000.0	54589000.0	17071000.0	0.0	17202000.0	15000.0	680000.0	1713000.0	10848000.0	845000.0	10003000.0	-252000.0	10255000.0	3946000.0	3946000.0	-660000.0	-244000.0	0.0	-1002000.0	531000.0	0.0	13087000.0	13991000.0	-904000.0	-244000.0	-244000.0	-244000.0	-244000.0	-244000.0	0.0	-1002000.0	-1002000.0	0.0	0.0	-1002000.0	342000.0	342000.0	-2386000.0	-1192000.0	-106000.0	2000.0	-3232000.0	-18000.0	-3214000.0	-3356000.0	142000.0	142000.0	201000.0	162000.0	1779000.0	1514000.0	15000.0	0.0	8000.0	975000.0	975000.0	0.0	0.0	1730000.0
2024-06-30															3899000.0	3899000.0	0.24	0.24																																																																																						0.0												0.0																							0.0				0.0		
