Metric	Value
longBusinessSummary	Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients in the United States, Ireland, and internationally. The Cardiovascular Portfolio segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; cardiac ablation products; insertable cardiac monitor systems; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves, surgical valve replacement and repair products, endovascular stent grafts and accessories, and transcatheter pulmonary valves, and percutaneous coronary intervention products, percutaneous angioplasty balloons, and other products. The Neuroscience Portfolio segment offers medical devices and implants, biologic solutions, spinal cord stimulation and brain modulation systems, implantable drug infusion systems, and interventional products, as well as nerve ablation system under the Accurian name. The segment offers its products for spinal surgeons, neurosurgeons, neurologists, pain management specialists, anesthesiologists, orthopedic surgeons, urologists, urogynecologists, and interventional radiologists, as well as ear, nose, and throat specialists, and energy surgical instruments. The Medical Surgical Portfolio segment offers surgical stapling devices, vessel sealing instruments, wound closure and electrosurgery products, AI-powered surgical video and analytics platform, robotic-assisted surgery products, hernia mechanical devices, mesh implants, gynecology products, gastrointestinal and hepatologic diagnostics and therapies, and therapies to treat diseases and conditions, and patient monitoring and airway management products. The Diabetes Operating Unit segment provides insulin pumps and consumables, continuous glucose monitoring systems and sensors, and InPen, a smart insulin pen. Medtronic plc was founded in 1949 and is headquartered in Galway, Ireland.
longName	Medtronic plc
market	us_market
marketCap	112185860096
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_31348
mostRecentQuarter	1769126400
netIncomeToCommon	4613000192
nextFiscalYearEnd	1777075200
nonDilutedMarketCap	114227245247
numberOfAnalystOpinions	26
open	89.38
operatingCashflow	7285000192
operatingMargins	0.20007
overallRisk	7
payoutRatio	0.79050004
phone	353 1 438 1700
postMarketChange	0.16000366
postMarketChangePercent	0.18311246
postMarketPrice	87.54
postMarketTime	1773359954
previousClose	88.97
priceEpsCurrentYear	15.473976
priceHint	2
priceToBook	2.2892923
priceToSalesTrailing12Months	3.16159
profitMargins	0.13
quickRatio	1.553
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.93548
region	US
regularMarketChange	-1.59
regularMarketChangePercent	-1.78712
regularMarketDayHigh	90.17
regularMarketDayLow	87.315
regularMarketDayRange	87.315 - 90.17
regularMarketOpen	89.38
regularMarketPreviousClose	88.97
regularMarketPrice	87.38
regularMarketTime	1773345602
regularMarketVolume	8419388
returnOnAssets	0.04567
returnOnEquity	0.0939
revenueGrowth	0.087
revenuePerShare	27.675
sector	Healthcare
sectorDisp	Healthcare
sectorKey	healthcare
shareHolderRightsRisk	6
sharesOutstanding	1283884964
sharesPercentSharesOut	0.012
sharesShort	15426378
sharesShortPreviousMonthDate	1769731200
sharesShortPriorMonth	19723625
shortName	Medtronic plc.
shortPercentOfFloat	0.012
shortRatio	1.7
sourceInterval	15
symbol	MDT
syntheticPEG	-1.2146730508474577
targetHighPrice	125.0
targetLowPrice	100.0
targetMeanPrice	111.69231
targetMedianPrice	112.0
totalCash	8383000064
totalCashPerShare	6.529
totalDebt	28071000064
totalRevenue	35484000256
tradeable	False
trailingAnnualDividendRate	2.83
trailingAnnualDividendYield	0.031808473
trailingEps	3.58
trailingPE	24.407822
trailingPegRatio	1.5593
triggerable	True
twoHundredDayAverage	94.32015
twoHundredDayAverageChange	-6.940155
twoHundredDayAverageChangePercent	-0.07358083
typeDisp	Equity
volume	8419388
website	https://www.medtronic.com
