Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-04-23 08:00:00-04:00	0.15		
2026-01-29 01:00:00-05:00	0.27	0.11	-59.86
2025-10-23 01:00:00-04:00	0.22	0.29	33.52
2025-07-24 01:00:00-04:00	0.09	0.06	-30.77
2025-04-24 01:00:00-04:00	0.05	0.07	48.62
2025-01-29 19:00:00-05:00	0.37	0.37	-0.16
2024-10-31 02:00:00-04:00	0.32	0.37	14.55
2024-07-25 01:00:00-04:00	0.36	0.38	4.43
2024-04-25 02:00:00-04:00	0.65	0.54	-16.62
2024-01-25 01:00:00-05:00	0.95	1.14	19.82
2023-10-26 01:00:00-04:00	1.08	1.16	7.68
2023-07-27 01:00:00-04:00	1.08	1.06	-1.58
2023-04-27 01:00:00-04:00	1.01	1.1	8.91
2023-01-26 01:00:00-05:00	1.13	1.32	16.94
2022-10-27 01:00:00-04:00	1.04	1.16	11.92
2022-07-28 01:00:00-04:00	0.8	0.92	14.65
2022-04-27 01:00:00-04:00	0.71	0.79	10.96
2022-01-27 01:00:00-05:00	0.69	0.82	18.58
2021-10-28 01:00:00-04:00	0.53	0.51	-3.35
2021-07-29 01:00:00-04:00	0.37	0.46	23.85
2021-04-29 01:00:00-04:00	0.38	0.39	3.54
2021-01-28 01:00:00-05:00	0.57	0.63	10.49
2020-10-22 01:00:00-04:00	0.28	0.26	-5.57
2020-07-23 01:00:00-04:00	0.08	0.1	30.43
2020-04-22 02:00:00-04:00	0.23	0.21	-9.48
