Date	Shares	Amount	BuyFlag
2026-01-23	95903.0	14495690.5	0
2026-02-04	8000.0	1264000.0	0
2026-02-11	23863.0	3822047.3899999997	0
2026-02-12	198325.0	32213363.240000002	0
2026-02-13	15169.0	2461608.63	0
2026-02-19	1809.0	288454.28	0
2026-02-27	5549.0	917199.4099999999	0
