Metric	Value
postMarketPrice	1779.0
postMarketTime	1783022588
previousClose	1769.32
priceEpsCurrentYear	57.85727
priceHint	2
priceToBook	1667.1874
priceToSalesTrailing12Months	21.064436
profitMargins	0.29713
quickRatio	0.691
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.44186
region	US
regularMarketChange	72.1051
regularMarketChangePercent	4.0753
regularMarketDayHigh	1868.6
regularMarketDayLow	1813.33
regularMarketDayRange	1813.33 - 1868.6
regularMarketOpen	1829.645
regularMarketPreviousClose	1769.32
regularMarketPrice	1841.425
regularMarketTime	1783363277
regularMarketVolume	1411463
returnOnAssets	0.15664
returnOnEquity	0.52236
revenueGrowth	0.132
revenuePerShare	1.568016
sector	Technology
sectorDisp	Technology
sectorKey	technology
sharesOutstanding	385417665
sharesPercentSharesOut	0.0043
sharesShort	1659513
sharesShortPreviousMonthDate	1778803200
sharesShortPriorMonth	984988
shortName	ASML Holding N.V. - New York Re
shortPercentOfFloat	0.0043
shortRatio	0.88
sourceInterval	15
symbol	ASML
targetHighPrice	2338.5588
targetLowPrice	885.4755
targetMeanPrice	1783.6427
targetMedianPrice	1834.778
totalCash	8376300032
totalCashPerShare	0.391
totalDebt	2705600000
totalRevenue	33692700672
tradeable	False
trailingAnnualDividendRate	5.9
trailingAnnualDividendYield	0.0033346147
trailingEps	29.37
trailingPE	62.69748
trailingPegRatio	2.6453
triggerable	True
twoHundredDayAverage	1314.8181
twoHundredDayAverageChange	526.60693
twoHundredDayAverageChangePercent	0.40051696
typeDisp	Equity
volume	1411463
website	https://www.asml.com
zip	5504 DR
