Metric	Value
shortName	ZIM Integrated Shipping Service
shortPercentOfFloat	0.0257
shortRatio	2.01
sourceInterval	15
symbol	ZIM
syntheticPEG	0.11659916309012874
targetHighPrice	35.0
targetLowPrice	9.0
targetMeanPrice	22.45
targetMedianPrice	22.9
totalCash	1627299968
totalCashPerShare	13.502
totalDebt	5478300160
totalRevenue	6294099968
tradeable	False
trailingAnnualDividendRate	1.25
trailingAnnualDividendYield	0.052126773
trailingEps	0.82
trailingPE	29.682928
trailingPegRatio	None
triggerable	True
twoHundredDayAverage	21.41005
twoHundredDayAverageChange	2.9299507
twoHundredDayAverageChangePercent	0.13684931
typeDisp	Equity
volume	719915
website	https://www.zim.com
zip	3190500
