Date	Shares	Amount	BuyFlag
2003-08-15	13500.0	739800.0	0
2003-08-22	56642.0	3236784.4332	0
2003-12-01	53253.0	3269195.0	0
2003-12-04	11200.0	683200.0	0
2003-12-05	169300.0	10389706.0	0
2003-12-11	8839.0	543008.5	0
2003-12-12	10920.0	684247.2	0
2004-02-24	5760.0	376252.79999999993	0
2004-03-01	12000.0	787680.0	0
2004-03-03	4171.0	271115.0	0
2004-03-04	50201.0	3218314.39	0
2004-03-26	17939.0	1216724.46	0
2004-03-29	10000.0	693700.0	0
2004-04-05	16606.0	1166635.07	0
2004-04-08	3000.0	220500.0	0
2004-06-07	2655.0	182849.85	0
2004-06-25	16515.0	1156050.0	0
2004-06-30	29700.0	2079000.0	0
2004-12-06	8912.0	625439.88	0
2004-12-10	20100.0	1412226.0	0
2004-12-15	19000.0	1387000.0	0
2004-12-20	2655.0	196124.85	0
2005-06-13	2512.0	169233.44	0
2005-06-21	3000.0	208110.0	0
2005-07-20	2811.0	202026.57	0
2005-07-27	3000.0	217110.0	0
2005-07-29	2500.0	184675.0	0
2005-11-28	19163.0	1321480.48	0
2006-02-01	97237.0	7201398.0	0
2006-02-16	75493.0	5630267.94	0
2006-02-21	16506.0	1269072.0	0
2006-02-22	88848.0	6930223.07	0
2006-02-23	18726.0	1466450.7	0
2006-02-28	45188.0	3428022.056	0
2006-03-30	4140.0	330318.4	0
2006-04-03	22708.0	1816640.0	0
2006-04-12	67386.0	5615093.0	0
2006-04-17	2500.0	214275.0	0
2006-04-18	80132.0	6948901.0	0
2006-05-01	39352.0	3519580.0	0
2006-05-19	50220.0	4206427.2	0
2006-10-09	3719.0	330991.0	0
2006-10-12	13464.0	1211760.0	0
2006-11-21	79535.0	7488658.6	0
2006-11-22	68294.0	6829400.0	0
2006-11-27	86002.0	8305333.5428	0
2006-12-05	53479.0	5123822.99	0
2006-12-11	24957.0	2405061.1674	0
2007-02-01	33314.0	3398028.0	0
2007-02-06	90825.0	9538141.4	0
2007-02-14	42336.0	4632801.12	0
2007-02-21	10572.0	1215780.0	0
2007-03-05	26671.0	2781694.9000000004	0
2007-03-06	5240.0	561890.0	0
2007-03-07	11620.0	1278810.4	0
2007-03-09	6040.0	684930.0	0
2007-05-09	1000.0	119180.0	0
2007-05-11	6813.0	817560.0	0
2007-05-14	4100.0	492000.0	0
2007-05-18	10618.0	1244111.06	0
2007-06-20	1000.0	124180.0	0
2007-07-13	1000.0	129180.0	0
2007-08-20	87979.0	11071277.36	0
2007-08-31	20381.0	2750615.0	0
2007-09-04	1000.0	139180.0	0
2007-09-18	1000.0	144180.0	0
2007-09-19	100.0	14918.0	0
2007-09-28	900.0	134262.0	0
2007-10-01	11971.0	1795650.0	0
2007-10-10	1000.0	154180.0	0
2007-11-06	8045.0	1286380.0	0
2007-11-27	65184.0	10430841.456	0
2007-12-06	32042.0	2826813.1718	0
2007-12-07	67456.0	6023891.0824	0
2007-12-10	132321.0	11567625.5104	0
2008-04-18	17444.0	1624045.28	0
2008-05-19	241156.0	19939308.6232	0
2009-06-01	3000.0	137670.0	0
2009-08-28	1000.0	45400.0	1
2009-10-21	3000.0	146670.0	0
2009-11-18	17500.0	891125.0	0
2009-11-23	10000.0	534300.0	0
2009-12-01	2500.0	137225.0	0
2009-12-22	20000.0	1122700.0	0
2010-01-11	2000.0	116500.0	0
2010-03-22	25155.0	1509300.0	0
2010-03-23	1000.0	60890.0	0
2010-04-26	5000.0	313800.0	0
2010-07-27	20750.0	1348750.0	0
2010-08-23	13678.0	893310.18	0
2010-09-01	12948.0	854568.0	0
2010-09-14	15905.0	1113350.0	0
2010-09-17	21330.0	1535760.0	0
2010-10-08	4846.0	363450.0	0
2010-10-20	17547.0	1351119.0	0
2010-11-30	29044.0	2163051.9	0
2010-12-02	14000.0	1090460.0	0
2010-12-10	4242.0	347844.0	0
2010-12-20	17031.0	1390581.15	0
2011-01-07	14000.0	1188460.0	0
2011-01-12	29208.0	2541096.0	0
2011-01-13	23368.0	2083958.24	0
2011-01-28	466.0	42820.74	0
2011-02-01	49506.0	4552238.26	0
2011-02-16	18896.0	1832912.0	0
2011-02-18	46798.0	4440410.0	0
2011-04-01	17160.0	1696952.4	0
2011-05-20	42585.0	3634119.96	0
2012-06-29	39897.0	3191831.8146	0
2012-08-17	750.0	56737.50000000001	1
2012-11-27	64577.0	5478132.298	0
2012-11-29	2258.0	191254.858	0
2012-12-06	20000.0	1686462.0	0
2012-12-10	19651.0	1670207.2685	0
2013-01-02	24086.0	2118363.7	0
2013-01-22	17257.0	1586090.87	0
2013-01-24	64797.0	6026121.0	0
2013-01-29	86730.0	8237910.0	0
2013-08-23	4672.0	387715.264	0
2014-04-02	71.0	6532.0	0
2014-04-03	32300.0	2972249.23	0
2014-04-04	22930.0	2123857.901	0
2014-04-08	13100.0	1214861.25	0
2014-05-19	4571.0	414799.5089	0
2014-05-29	4860.0	442073.862	0
2014-08-22	1000.0	85000.0	1
2015-02-18	59858.0	5540618.096600001	0
2015-02-24	13911.0	1265000.9583	0
2015-03-16	3484.0	311618.71520000004	0
2015-03-23	7000.0	630004.2000000001	0
2015-06-11	12251.0	1139343.0	0
2015-06-26	52515.0	4992353.909	0
2015-06-30	18837.0	1837167.9339	0
2015-12-02	4366.0	347177.771	0
2016-05-17	3996514.0	78471552.39	0
2016-08-12	85000.0	6589536.791	0
2016-11-22	10781.0	1002941.3366	0
2016-11-23	18145.0	1813425.9875	0
2016-11-25	26090.0	2726405.0	0
2016-11-29	59647.136	6153985.64248	0
2016-11-30	4959.68	720195.1328000001	0
2016-12-01	49964.0	5079650.016799999	0
2016-12-05	3596863.0	118696479.0	0
2017-02-22	30637.0	3350460.6513000005	0
2017-02-28	3665.0	403150.0	0
2017-05-01	3998550.0	184233191.25	0
2017-05-19	12464.0	1490524.8464	0
2017-05-25	5601.0	688923.0	0
2017-06-01	62704.0	7838000.0	0
2017-06-06	19907.0	2499779.7203	0
2017-06-16	4936.0	631808.0	0
2017-08-04	12361.0	1605726.0386	0
2017-08-07	8015.0	1041901.91	0
2017-08-08	5000.0	654449.9999999999	0
2017-08-22	58470.0	6825831.077099999	0
2017-09-18	9600.0	1152108.48	0
2017-09-19	12495.0	1501606.617	0
2017-10-02	22095.0	2806869.258	0
2017-10-23	8128.0	1056907.4112000002	0
2017-10-24	10498.0	1378539.621	0
2017-10-27	7174.0	954020.7594	0
2017-11-02	9551.0	1288454.39	0
2017-11-03	2000.0	270035.0	0
2017-11-06	24143.0	3267373.5906	0
2017-11-28	82563.0	11424043.162	0
2017-11-29	4519.0	672969.48	0
2017-12-04	7731.0	1173279.753	0
2017-12-05	21989.0	3328839.9474	0
2017-12-11	25354.0	3829565.8665	0
2017-12-13	1897.0	290241.0	0
2018-01-09	10220.0	1686947.948	0
2018-01-12	22095.0	3757455.8145	0
2018-01-16	11235.0	1895071.6225	0
2018-02-16	20086.0	3459865.7236	0
2018-02-21	32183.0	5341296.3003	0
2018-02-23	142.0	23608.3378	0
2018-02-26	14941.0	2494993.1077	0
2018-02-28	269353.0	44127503.4403	0
2018-11-29	11133.0	1686362.3934	0
2019-01-17	11661.0	1868174.9931	0
2019-06-21	16468.0	2687742.2800000003	0
2019-07-26	5228.0	888760.0	0
2019-11-04	114253.0	20371217.8497	0
2019-11-11	12637.0	2274660.0	0
2019-12-04	12151.0	1996609.3827	0
2019-12-13	5075.0	879918.7250000001	0
2019-12-16	8112.0	1412402.8266	0
2020-01-21	2350.0	411477.95	0
2020-02-21	7562.0	1346036.0	0
2020-07-16	7379.0	1291325.0	0
2020-07-29	10760.0	1936800.0	0
2020-08-10	12869.0	2380765.0	0
2020-08-25	7996.0	1664511.328	0
2020-11-25	27800.0	7156556.779999999	0
2020-12-01	14413.0	3793789.86	0
2020-12-02	44169.0	11370457.042	0
2020-12-03	20467.0	5290514.83	0
2021-01-04	84184.0	22631657.735000007	0
2021-01-06	14619.0	4224891.0	0
2021-01-07	8585.0	2566915.0	0
2021-02-16	6188.0	1973972.0	0
2021-03-15	27800.0	10260702.0	0
2021-06-01	35496.0	12962784.24	0
2021-06-02	39336.0	14124257.946	0
2021-06-02	275.0	98892.805	1
2021-08-11	6188.0	2382380.0	0
2021-11-30	10035.0	3500434.103	0
2022-03-07	32391.0	12956400.0	0
