	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Debt	Other Current Borrowings	Commercial Paper	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Goodwill And Other Intangible Assets	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Machinery Furniture Equipment	Land And Improvements	Properties	Current Assets	Other Current Assets	Inventory	Finished Goods	Raw Materials	Receivables	Other Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate
2026-03-31	0.0	0.175	39324000000.0	29578000000.0	3439000000.0	56403000000.0	39324000000.0	35885000000.0	29578000000.0	29578000000.0	75299000000.0	35885000000.0	14725873000.0	14673278000.0	2.01	2.02	29578000000.0	29578000000.0	29578000000.0	29578000000.0	29578000000.0	6255000000.0	35833000000.0	-52000000.0	-52000000.0	35885000000.0	18896000000.0	11419000000.0	7477000000.0	54781000000.0	56403000000.0	111184000000.0	111184000000.0	14667688000.0	14667688000.0	39139000000.0	84711000000.0	85157000000.0	191202000000.0	9473000000.0	85157000000.0	106491000000.0	180895000000.0	106491000000.0	106491000000.0	-5375000000.0	-5375000000.0	12359000000.0	99507000000.0	99507000000.0	264591000000.0	129950000000.0	55546000000.0	74404000000.0	74404000000.0	134641000000.0	57654000000.0	9331000000.0	9331000000.0	10307000000.0	10307000000.0	8310000000.0	1997000000.0	57349000000.0		57349000000.0			57349000000.0	371082000000.0	226968000000.0	77430000000.0			78088000000.0	78088000000.0	78088000000.0	21334000000.0	50116000000.0	-77441000000.0	127557000000.0					144114000000.0	15349000000.0	6747000000.0			53511000000.0	23172000000.0	30339000000.0	68507000000.0	22935000000.0	45572000000.0	15832000000.0	29740000000.0	26731000000.0	-12288000000.0	-5751000000.0		-1971000000.0	16963000000.0	45572000000.0	45317000000.0	255000000.0	-22279000000.0	-22279000000.0	-418000000.0	-3822000000.0	-3822000000.0	-12288000000.0	-12288000000.0	-5751000000.0	-1000000.0	-1000000.0	-5750000000.0	-5750000000.0		-6168000000.0	-6168000000.0	-1430000000.0	-2767000000.0	16972000000.0	-19739000000.0	-1971000000.0	-1971000000.0	28702000000.0	28702000000.0	-6654000000.0	-5232000000.0	-4079000000.0	-13145000000.0	-13145000000.0	-13145000000.0	-873000000.0	16675000000.0	9448000000.0	-1189000000.0	3528000000.0	3439000000.0	3439000000.0	29578000000.0		54781000000	111184000000	56403000000	56403000000	35885000000	7477000000	11419000000	18896000000								3439000000	35833000000	6255000000		29578000000		35885000000	39324000000	29578000000	371082000000	144114000000	36328000000	36328000000	6747000000	53511000000	226968000000			21334000000.0	21334000000.0			78088000000.0	32179000000	15349000000		264591000000	134641000000	57349000000			10307000000.0	129950000000		74404000000.0	10307000000.0		84711000000.0	57654000000	55546000000.0	106491000000		12359000000	99507000000	14768115000	28702000000					3439000000	1971000000		-873000000		-6168000000	-22279000000					3822000000.0	3822000000.0					-12288000000		3528000000.0		
2025-12-31	0.0	0.175	54066000000.0	42097000000.0	3214000000.0	74525000000.0	54066000000.0	50852000000.0	42097000000.0	42097000000.0	92904000000.0	50852000000.0	14810356000.0	14748158000.0	2.84	2.85	42097000000.0	42097000000.0	42097000000.0	42097000000.0	42097000000.0	8905000000.0	51002000000.0	150000000.0	150000000.0	50852000000.0	18379000000.0	10887000000.0	7492000000.0	69231000000.0	74525000000.0	143756000000.0	143756000000.0	14697926000.0	14697926000.0	45192000000.0	90509000000.0	88190000000.0	178699000000.0	-4263000000.0	88190000000.0	88190000000.0	164875000000.0	88190000000.0	88190000000.0	-4854000000.0	-4854000000.0	-2177000000.0	95221000000.0	95221000000.0	291107000000.0	128740000000.0	52055000000.0	76685000000.0	76685000000.0	162367000000.0	68543000000.0	9413000000.0	9413000000.0	13824000000.0	13824000000.0	11827000000.0	1997000000.0	70587000000.0		70587000000.0			70587000000.0	379297000000.0	221193000000.0	93146000000.0			77888000000.0	77888000000.0	77888000000.0		50159000000.0	-77161000000.0	127320000000.0					158104000000.0	15002000000.0	5875000000.0			70320000000.0	30399000000.0	39921000000.0	66907000000.0	21590000000.0	45317000000.0	14491000000.0	30826000000.0	51552000000.0	-24701000000.0	-8074000000.0		-2373000000.0	3434000000.0	45317000000.0	35934000000.0	9383000000.0	-39656000000.0	-39656000000.0	-2960000000.0	-3921000000.0	-3921000000.0	-24701000000.0	-24701000000.0	-8074000000.0	-5910000000.0	-5910000000.0	-2164000000.0	-2164000000.0		-4886000000.0	-4886000000.0	-154000000.0	-2359000000.0	10334000000.0	-12693000000.0	-2373000000.0	-2373000000.0	53925000000.0	53925000000.0	5548000000.0	12533000000.0	-10250000000.0	848000000.0	848000000.0	848000000.0	-211000000.0	2628000000.0	-153000000.0	-528000000.0	3594000000.0	3214000000.0	3214000000.0	42097000000.0		69231000000	143756000000	74525000000	74525000000	50852000000	2095000000	10887000000	18379000000								3214000000	51002000000	8905000000		42097000000		51002000000	54216000000	42097000000	379297000000	158104000000	45317000000	45317000000	5875000000	70320000000	221193000000	50159000000.0						77888000000.0	21590000000	15002000000		291107000000	162367000000	70587000000			13824000000.0	128740000000		76685000000.0	13824000000.0		90509000000.0	68543000000	52055000000.0	88190000000		-2177000000	95221000000	14810356000	53925000000					3214000000	2373000000		-211000000		-4886000000	-39656000000					3921000000.0	3921000000.0					-24701000000		3594000000.0		
2025-09-30	0.0	0.162724	35554000000.0	27466000000.0	3127000000.0	54125000000.0	35554000000.0	32427000000.0	27466000000.0	27466000000.0	70039000000.0	32427000000.0	14863609000.0	14815307000.0	1.85	1.85	27466000000.0	27466000000.0	27466000000.0	27466000000.0	27466000000.0	5338000000.0	32804000000.0	377000000.0	377000000.0	32427000000.0	15914000000.0	8866000000.0	7048000000.0	48341000000.0	54125000000.0	102466000000.0	102466000000.0	14773260000.0	14773260000.0	62723000000.0	98657000000.0	73733000000.0	172390000000.0	-17674000000.0	73733000000.0	73733000000.0	152061000000.0	73733000000.0	73733000000.0	-5571000000.0	-5571000000.0	-14264000000.0	93568000000.0	93568000000.0	285508000000.0	119877000000.0	41549000000.0	78328000000.0	78328000000.0	165631000000.0	44452000000.0	9055000000.0	9055000000.0	20329000000.0	20329000000.0	12350000000.0	7979000000.0	91795000000.0	8919000000.0	82876000000.0	13016000000.0	13016000000.0	69860000000.0	359241000000.0	211284000000.0	62950000000.0	20777000000.0	20777000000.0	77723000000.0	77723000000.0	77723000000.0		49834000000.0	-76014000000.0	125848000000.0	15091000000.0	83420000000.0	27337000000.0	0.0	147957000000.0	14585000000.0	5718000000.0			72957000000.0	33180000000.0	39777000000.0	54697000000.0	18763000000.0	35934000000.0	7667000000.0	28267000000.0	26486000000.0	-20132000000.0	-1185000000.0	0.0	-3242000000.0	6037000000.0	35934000000.0	36269000000.0	-335000000.0	-27476000000.0	-27476000000.0	-265000000.0	-3862000000.0	-3862000000.0	-20132000000.0	-20132000000.0	-3217000000.0	-1967000000.0		-1250000000.0	-1250000000.0	0.0	-2587000000.0	-2587000000.0	-505000000.0	1160000000.0	7976000000.0	-6816000000.0	-3242000000.0	-3242000000.0	29728000000.0	29728000000.0	-5707000000.0	4085000000.0	-3081000000.0	19381000000.0	19381000000.0	19381000000.0	177000000.0	-26269000000.0	-12367000000.0	1659000000.0	3183000000.0	3127000000.0	3127000000.0	27466000000.0		48341000000	102466000000	54125000000	54125000000	32427000000	7048000000	8866000000	15914000000								3127000000	32804000000	5338000000		27466000000		32427000000	35554000000	27466000000	359241000000	147957000000	35934000000	35934000000	5718000000	72957000000	211284000000	49834000000.0						77723000000.0	18763000000	14585000000		285508000000	165631000000	69860000000			22446000000.0	119877000000		78328000000.0	20329000000.0		112377000000.0	64270000000	41549000000.0	73733000000		-14264000000	93568000000	15004697000	29728000000					3127000000	3242000000		177000000		-2587000000	-27476000000					3862000000.0	3862000000.0					-20132000000		3183000000.0		
2025-06-30	0.0	0.164	31032000000.0	23434000000.0	2830000000.0	50318000000.0	31032000000.0	28202000000.0	23434000000.0	23434000000.0	65834000000.0	28202000000.0	14948179000.0	14902886000.0	1.57	1.57	23434000000.0	23434000000.0	23434000000.0	23434000000.0	23434000000.0	4597000000.0	28031000000.0	-171000000.0	-171000000.0	28202000000.0	15516000000.0	8866000000.0	6650000000.0	43718000000.0	50318000000.0	94036000000.0	94036000000.0	14856722000.0	14856722000.0	65429000000.0	101698000000.0	65830000000.0	167528000000.0	-18629000000.0	65830000000.0	65830000000.0	148260000000.0	65830000000.0	65830000000.0	-6369000000.0	-6369000000.0	-17607000000.0	89806000000.0	89806000000.0	265665000000.0	124545000000.0	42115000000.0	82430000000.0	82430000000.0	141120000000.0	62499000000.0	8979000000.0	8979000000.0	19268000000.0	19268000000.0	9345000000.0	9923000000.0	50374000000.0		50374000000.0			50374000000.0	331495000000.0	209004000000.0	82882000000.0			77614000000.0	77614000000.0	77614000000.0		48508000000.0	-75803000000.0	124311000000.0					122491000000.0	14359000000.0	5925000000.0	3637000000.0	2288000000.0	46835000000.0	19278000000.0	27557000000.0	55372000000.0	19103000000.0	36269000000.0	9583000000.0	26686000000.0	24405000000.0	-21075000000.0	-1770000000.0		-3462000000.0	5649000000.0	36269000000.0	28162000000.0	8107000000.0	-24833000000.0	-24833000000.0	-2524000000.0	-3945000000.0	-3945000000.0	-21075000000.0	-21075000000.0	2711000000.0	3903000000.0	3903000000.0	-1192000000.0	-5673000000.0		5073000000.0	5073000000.0	-340000000.0	8875000000.0	14024000000.0	-5149000000.0	-3462000000.0	-3462000000.0	27867000000.0	27867000000.0	-2034000000.0	418000000.0	-1745000000.0	-3875000000.0	-3875000000.0	-3875000000.0	365000000.0	2803000000.0	-1581000000.0	469000000.0	3168000000.0	2830000000.0	2830000000.0	23434000000.0		43718000000	94036000000	50318000000	50318000000	28202000000	6650000000	8866000000	15516000000				1000000.0				2830000000	28031000000	4597000000		23434000000		28031000000	30861000000	23434000000	331495000000	122491000000	36269000000	36269000000	5925000000	46835000000	209004000000	48508000000.0						77614000000.0	24907000000	14359000000		265665000000	141120000000	50374000000			19268000000.0	124545000000		82430000000.0	19268000000.0		101698000000.0	62499000000	42115000000.0	65830000000		-17607000000	89806000000	14948179000	27867000000					2830000000	3462000000		365000000		5073000000	-24833000000					3945000000.0	3945000000.0					-21075000000		3168000000.0		
2025-03-31	0.0	0.154555	32250000000.0	24780000000.0	2661000000.0	50492000000.0	32250000000.0	29589000000.0	24780000000.0	24780000000.0	65770000000.0	29589000000.0	15056133000.0	14994082000.0	1.65	1.65	24780000000.0	24780000000.0	24780000000.0	24780000000.0	24780000000.0	4530000000.0	29310000000.0	-279000000.0	-279000000.0	29589000000.0	15278000000.0	8550000000.0	6728000000.0	44867000000.0	50492000000.0	95359000000.0	95359000000.0	14939315000.0	14939315000.0	70024000000.0	98186000000.0	66796000000.0	164982000000.0	-25897000000.0	66796000000.0	66796000000.0	145362000000.0	66796000000.0	66796000000.0	-6363000000.0	-6363000000.0	-15552000000.0	88711000000.0	88711000000.0	264437000000.0	119866000000.0	41300000000.0	78566000000.0	78566000000.0	144571000000.0	61849000000.0	8976000000.0	8976000000.0	19620000000.0	19620000000.0	13638000000.0	5982000000.0	54126000000.0		54126000000.0			54126000000.0	331233000000.0	212559000000.0	81259000000.0			84424000000.0	84424000000.0	84424000000.0		46876000000.0	-74303000000.0	121179000000.0					118674000000.0	14109000000.0	6269000000.0	3596000000.0	2673000000.0	49798000000.0	23662000000.0	26136000000.0	48498000000.0	20336000000.0	28162000000.0	3101000000.0	25061000000.0	20881000000.0	-25898000000.0	976000000.0		-3071000000.0	13032000000.0	28162000000.0	30299000000.0	-2137000000.0	-29006000000.0	-29006000000.0	-326000000.0	-3758000000.0	-3758000000.0	-25898000000.0	-25898000000.0	976000000.0	3976000000.0	3976000000.0	-3000000000.0	-3000000000.0		2917000000.0	2917000000.0	-32000000.0	6020000000.0	12338000000.0	-6318000000.0	-3071000000.0	-3071000000.0	23952000000.0	23952000000.0	-6507000000.0	-3581000000.0	-5310000000.0	-7933000000.0	-7933000000.0	-7933000000.0	643000000.0	9674000000.0	3669000000.0	-208000000.0	3226000000.0	2661000000.0	2661000000.0	24780000000.0		44867000000	95359000000	50492000000	50492000000	29589000000	6728000000	8550000000	15278000000								2661000000	29310000000	4530000000		24780000000		29310000000	31971000000	24780000000	331233000000	118674000000	28162000000	28162000000	6269000000	49798000000	212559000000	46876000000.0						84424000000.0	20336000000	14109000000		264437000000	144571000000	54126000000			19620000000.0	119866000000		78566000000.0	19620000000.0		98186000000.0	61849000000	41300000000.0	66796000000		-15552000000	88711000000	15056133000	23952000000					2661000000	3071000000		643000000		2917000000	-29006000000					3758000000.0	3758000000.0					-25898000000		3226000000.0		
2024-12-31																																																																																									4119000000.0	2792000000.0																											-7944000000.0																													58275000000	124300000000	66025000000	66025000000	42832000000	2074000000	8268000000	15443000000								3080000000	42584000000	6254000000		36330000000		42584000000	45664000000	36330000000	344085000000	133240000000	30299000000	30299000000	6911000000	59306000000	210845000000	46069000000.0						87593000000.0	23476000000	13248000000		277327000000	144365000000	61910000000			12843000000.0	132962000000		83956000000.0	12843000000.0		96799000000.0	61151000000	49006000000.0	66758000000		-11221000000	84768000000	15150865000	29935000000					3080000000	2940000000		215000000		9792000000	-39371000000					3856000000.0	3856000000.0					-23606000000		3286000000.0		
2024-09-30																																																																																																																																																		43879000000	94930000000	51051000000	51051000000	29591000000	6523000000	7765000000	14288000000								2911000000	29610000000	14874000000		14736000000		29591000000	32502000000	14736000000	364980000000	152987000000	29943000000	29943000000	7286000000	66243000000	211993000000	45680000000.0						91479000000.0	35228000000	14287000000		308030000000	176392000000	68960000000			22511000000.0	131638000000		85750000000.0	20879000000.0		106629000000.0	50071000000	36634000000.0	56950000000		-19154000000	83276000000	15408095000	26811000000					2911000000	2908000000		-1087000000		1445000000	-24948000000					3804000000.0	3804000000.0					-25083000000		2858000000.0		
2024-06-30																																																																																																																																																		39678000000	85777000000	46099000000	46099000000	25352000000	6320000000	8006000000	14326000000								2850000000	25494000000	4046000000		21448000000		25352000000	28202000000	21448000000	331612000000	125435000000	25565000000	25565000000	6165000000	43172000000	206177000000	43550000000.0						91240000000.0	36236000000	14297000000		264904000000	131624000000	47574000000			15108000000.0	133280000000		86196000000.0	15108000000.0		101304000000.0	60889000000	47084000000.0	66708000000		-4726000000	79850000000	15348175000	28858000000					2850000000	2151000000		-12000000		-127000000	-36017000000					3895000000.0	3895000000.0					-26522000000		2869000000.0		
2024-03-31																																																																																																																																																		42271000000	90753000000	48482000000	48482000000	27900000000	6468000000	7903000000	14213000000								2836000000	28058000000	4422000000		23636000000		27900000000	30736000000	23636000000	337411000000	128416000000	32695000000	32695000000	6232000000	41150000000	208995000000	43670000000.0						95187000000.0	34455000000	13884000000		263217000000	123822000000	45753000000			12759000000.0	139395000000		91831000000.0	12759000000.0		104590000000.0	57298000000	47564000000.0	74194000000		4339000000	78815000000	15464709000	22690000000					2836000000	1996000000		190000000		-310000000	-30433000000					3710000000.0	3710000000.0					-23205000000		2964000000.0		
2023-12-31																																																																																																																																																		54855000000	119575000000	64720000000	64720000000	40373000000	6786000000	7696000000	14532000000				1002000000.0				2848000000	40323000000	6407000000		33916000000		40373000000	43221000000	33916000000	353514000000	143692000000	40760000000	40760000000	6511000000	50102000000	209822000000	54380000000.0						99475000000.0	32340000000	13979000000		279414000000	133973000000	58146000000			12952000000.0	145441000000		95088000000.0	12952000000.0		108040000000.0	54611000000	50353000000.0	74100000000		8242000000	75236000000	15576641000	39895000000					2848000000	2392000000		-137000000		1927000000	-30585000000					3825000000.0	3825000000.0					-20139000000		2997000000.0		
