Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-04-23 17:00:00-04:00	0.43		
2026-02-11 19:00:00-05:00	0.63	0.34	-45.24
2025-10-30 17:00:00-04:00	0.52	0.64	22.86
2025-07-31 18:00:00-04:00	0.36	0.5	37.93
2025-04-24 19:00:00-04:00	0.41	0.35	-14.51
2025-02-18 19:00:00-05:00	0.47	-0.16	-134.0
2024-10-23 20:00:00-04:00	0.45	0.37	-16.6
2024-07-25 08:00:00-04:00	0.53	0.43	-17.87
2024-04-23 20:00:00-04:00	0.53	0.42	-19.3
2024-02-22 18:00:00-05:00	0.93	0.67	-28.33
2023-10-26 18:00:00-04:00	0.67	0.67	0.35
2023-07-27 20:00:00-04:00	0.58	0.23	-60.46
2023-04-26 16:00:00-04:00	0.56	0.38	-31.16
2023-02-16 17:00:00-05:00	0.6	0.71	19.38
2022-10-27 17:00:00-04:00	0.6	1.05	75.07
2022-07-28 17:00:00-04:00	0.83	0.94	13.75
2022-04-27 18:00:00-04:00	0.87	0.8	-7.55
2022-02-23 19:00:00-05:00	0.81	1.46	80.52
2021-10-28 22:00:00-04:00	1.08	1.26	17.28
2021-07-28 20:00:00-04:00	1.45	1.59	9.31
2021-04-26 22:00:00-04:00	1.05	1.13	7.79
2021-02-25 20:00:00-05:00	1.01	1.27	25.75
2020-10-28 19:00:00-04:00	0.66	0.64	-3.59
2020-07-29 22:00:00-04:00	0.29	0.29	-0.45
2020-04-28 21:00:00-04:00	0.21	0.09	-57.12
