Date	Shares	Amount	BuyFlag
2026-08-18	4549.0	4136997.07	0
2026-08-20	5887.0	4873376.34	0
2026-08-21	500.0	449075.0	0
2026-08-25	50663.0	43194749.75000001	0
2026-08-27	1048.0	1004675.68	0
