Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-05-01 09:00:00-04:00	0.93		
2026-02-06 06:00:00-05:00	0.9	0.9	0.31
2025-10-31 06:00:00-04:00	0.88	0.91	2.94
2025-08-01 06:00:00-04:00	0.79	0.86	9.0
2025-05-02 06:00:00-04:00	0.66	0.67	0.85
2025-02-06 06:00:00-05:00	0.59	0.59	-0.44
2024-11-01 06:00:00-04:00	0.81	0.63	-22.35
2024-08-06 06:00:00-04:00	0.82	0.82	-0.6
2024-05-03 16:00:00-04:00	0.74	0.78	5.4
2024-02-06 06:00:00-05:00	0.75	0.78	4.53
2023-10-27 06:00:00-04:00	0.73	0.84	14.54
2023-07-28 06:00:00-04:00	0.68	0.77	12.53
2023-04-28 06:00:00-04:00	0.67	0.67	
2023-02-07 06:00:00-05:00	0.58	0.66	13.23
2022-10-28 17:00:00-04:00	0.6	0.42	-30.43
2022-07-29 16:00:00-04:00	0.54	0.58	7.42
2022-04-29 06:00:00-04:00	0.44	0.5	13.21
2022-02-08 06:00:00-05:00	0.48	0.5	3.45
2021-10-28 09:00:00-04:00	0.48	0.53	9.66
2021-08-03 06:00:00-04:00	0.4	0.5	24.55
2021-04-29 06:00:00-04:00	0.35	0.43	22.36
2021-02-09 06:00:00-05:00	0.42	0.43	2.38
2020-10-29 20:00:00-04:00	0.4	0.45	11.31
2020-07-31 08:00:00-04:00	0.25	0.29	18.37
2020-04-29 06:00:00-04:00	0.37	0.34	-8.11
