	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Earnings From Equity Interest Net Of Tax	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Ppe	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Operating Income	Operating Expense	Other Operating Expenses	Other Taxes	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Derivative Product Liabilities	Employee Benefits	Non Current Pension And Other Postretirement Benefit Plans	Tradeand Other Payables Non Current	Non Current Deferred Liabilities	Non Current Deferred Taxes Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Debt	Long Term Provisions	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Debt	Other Current Borrowings	Pensionand Other Post Retirement Benefit Plans Current	Payables And Accrued Expenses	Current Accrued Expenses	Interest Payable	Payables	Total Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Financial Assets	Investments And Advances	Other Investments	Investmentin Financial Assets	Available For Sale Securities	Long Term Equity Investment	Goodwill And Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Other Properties	Properties	Current Assets	Other Current Assets	Hedging Assets Current	Assets Held For Sale Current	Restricted Cash	Inventory	Raw Materials	Receivables	Other Receivables	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Purchase Of Business	Capital Expenditure Reported	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Payables And Accrued Expense	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Unrealized Gain Loss On Investment Securities	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Amortization Cash Flow	Amortization Of Intangibles	Depreciation	Operating Gains Losses	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-09-30																																																																																																																																																																														1485000000	6111000000	4626000000	4626000000	977000000	14000000.0		508000000		-82000000.0		82000000.0				621000000	895000000	205000000		690000000.0		1085000000	1706000000	731000000
2023-06-30																																																																																																																																																																														1118000000	5446000000	4328000000	4328000000	669000000	14000000.0		449000000		-103000000.0	34000000.0	103000000.0				614000000	1166000000	342000000		824000000.0		719000000	1333000000	833000000
2023-03-31																																																																																																																																																																														427000000	7565000000	7138000000	7138000000	31000000	14000000.0		396000000		-107000000.0	26000000.0	107000000.0				605000000	233000000	131000000		102000000.0		42000000	647000000	96000000
2022-12-31																																																																																																																																																																														291000000	7333000000	7042000000	7042000000	-172000000			463000000		-41000000.0	23000000.0	64000000.0				617000000	144000000	116000000		28000000.0		-88000000	529000000	34000000
2022-09-30																																																																																																																																																																														347000000	6051000000	5704000000	5704000000	-41000000			388000000		-53000000.0	22000000.0	75000000.0				603000000	-316000000	-123000000		-193000000.0		-33000000	570000000	-188000000
2022-06-30																																																																																																																																																																														715000000	5465000000	4750000000	4750000000	272000000			443000000		-27000000.0	29000000.0	56000000.0				605000000	-293000000	-180000000		-113000000.0		338000000	943000000	-111000000
2022-03-31																																																																																																																																																																														836000000	5591000000	4755000000	4755000000	435000000			401000000		-37000000.0	19000000.0	56000000.0				602000000	130000000	19000000		111000000.0		437000000	1039000000	106000000
2021-12-31																																																																																																																																																																														-271000000	5532000000	5803000000	5803000000	-2000000			-269000000		26000000.0		72000000.0				589000000	80000000	41000000		39000000.0		-660000000	-71000000	42000000
2021-09-30																																																																																																																																																																														1897000000	4406000000	2509000000	2509000000	1006000000			891000000		-123000000.0	26000000.0	77000000.0				648000000	799000000	166000000		634000000.0		1532000000	2180000000	607000000
2021-06-30																																																																																																																																																																														745000000	4153000000	3408000000	3408000000	-308000000			1053000000		-48000000.0	28000000.0	76000000.0				678000000	26000000	13000000		13000000.0		360000000	1038000000	-61000000
2021-03-31																																																																																																																																																																														-52000000	5559000000	5611000000	5611000000	-1042000000			990000000		-54000000.0	18000000.0	72000000.0				672000000	-990000000	-221000000		-769000000.0		-439000000	233000000	-793000000
2020-12-31																																																																																																																																																																														346000000	4331000000	3985000000	3985000000	-354000000			700000000		-80000000.0		80000000.0				683000000	168000000	74000000		94000000.0		-47000000	636000000	19000000
2020-09-30																																																																																																																																																																														1395000000	4659000000	3264000000	3264000000	-68000000			1463000000				57000000.0				678000000	128000000	11000000				988000000	1666000000	49000000
2020-06-30																																																																																																																																																																														749000000	3880000000	3131000000	3131000000	345000000			404000000				68000000.0				659000000	724000000	195000000				333000000	992000000	476000000
2020-03-31																																																																																																																																																																														774000000	4733000000	3959000000	3959000000	333000000			441000000				82000000.0				661000000	-374000000	-213000000				341000000	1002000000	45000000
2019-12-31																																																																																																																																																																														605000000	4644000000	4039000000	4039000000	361000000			244000000				68000000.0				686000000	495000000	62000000				166000000	852000000	397000000
2019-09-30																																																																																																																																																																														1075000000	4774000000	3699000000	3699000000	482000000			593000000				85000000.0				722000000	300000000	56000000				613000000	1335000000	257000000
2019-06-30																																																																																																																																																																														652000000	4210000000	3558000000	3558000000	147000000			505000000				80000000.0				716000000	162000000	44000000				189000000	905000000	108000000
2019-03-31																																																																																																																																																																														797000000	5296000000	4499000000	4499000000	333000000			464000000				86000000.0				710000000	561000000	139000000				336000000	1046000000	363000000
2018-12-31																																																																																																																																																																														541000000	5069000000	4528000000	4528000000	34000000			507000000				98000000.0				704000000	-404000000	-180000000				88000000	792000000	-177000000
2018-09-30																																																																																																																																																																														932000000	5278000000	4346000000	4346000000	311000000			621000000				72000000.0				703000000	378000000	78000000				491000000	1194000000	234000000
2018-06-30																																																																																																																																																																														883000000	4579000000	3696000000	3696000000	282000000			601000000				66000000.0				706000000	204000000	23000000				454000000	1160000000	178000000
2018-03-31																																																																																																																																																																														906000000	5512000000	4606000000	4606000000	347000000			559000000				98000000.0				706000000	195000000	9000000				472000000	1178000000	136000000
2017-12-31																																																																																																																																																																														911000000	4657000000	3746000000	3746000000	504000000			407000000				103000000.0				712000000	908000000	-1382000000				483000000	1195000000	2223000000
2017-09-30																																																																																																																																																																														1064000000	4750000000	3686000000	3686000000	497000000			567000000				112000000.0				667000000	585000000	239000000				625000000	1292000000	304000000
2017-06-30																																																																																																																																																																														552000000	4216000000	3664000000	3664000000	-427000000			979000000				128000000.0				737000000	-384000000	-148000000				115000000	852000000	-235000000
2017-03-31																																																																																																																																																																														620000000	4878000000	4258000000	4258000000	373000000			247000000				98000000.0				678000000	522000000	123000000				175000000	853000000	418000000
2016-12-31																																																																																																																																																																														694000000	4388000000	3694000000	3694000000	93000000			601000000				91000000.0				1499000000	79000000	77000000				666000000	2165000000	-42000000
2016-09-30																																																																																																																																																																														1271000000	5035000000	3764000000	3764000000	342000000			929000000				77000000.0				553000000	444000000	173000000				627000000	1180000000	236000000
2016-06-30																																																																																																																																																																														523000000	3589000000	3066000000	3066000000	-13000000			536000000				99000000.0				800000000	-3000000	-31000000				-3000000	797000000	-8000000
2016-03-31																																																																																																																																																																														979000000	4739000000	3760000000	3760000000	415000000			564000000				96000000.0				667000000	408000000	151000000				564000000	1231000000	310000000
2015-12-31																																																																																																																																																																														637000000	4294000000	3657000000	3657000000	230000000			407000000				96000000.0				702000000	241000000	109000000				237000000	939000000	154000000
2015-09-30																																																																																																																																																																														1015000000	4768000000	3753000000	3753000000	622000000			393000000				68000000.0				632000000	296000000	-36000000				628000000	1260000000	377000000
2015-06-30																																																																																																																																																																														1083000000	4232000000	3149000000	3149000000	703000000			380000000				99000000.0				664000000	571000000	181000000				704000000	1368000000	398000000
2015-03-31																																																																																																																																																																														1130000000	5842000000	4712000000	4712000000	721000000			409000000				101000000.0				591000000	711000000	226000000				754000000	1345000000	443000000
2014-12-31																																																																																																																																																																														684000000	4802000000	4118000000	4118000000	-106000000			790000000				94000000.0				666000000	-34000000	-16000000				321000000	987000000	-91000000
2014-09-30																																																																																																																																																																														1376000000	4412000000	3036000000	3036000000	1225000000			151000000				62000000.0				611000000	1140000000	291000000				996000000	1607000000	771000000
2014-06-30																																																																																																																																																																														643000000	3789000000	3146000000	3146000000	441000000			202000000				83000000.0				685000000	571000000	199000000				271000000	956000000	340000000
2014-03-31																																																																																																																																																																														-40000000	4390000000	4430000000	4430000000	-384000000			344000000				71000000.0				557000000	-384000000	-199000000				-356000000	201000000	-185000000
2013-12-31																																																																																																																																																																														656000000	3772000000	3116000000	3116000000	418000000			238000000				96000000.0				622000000	566000000	301000000				346000000	968000000	269000000
2013-09-30																																																																																																																																																																														1032000000	4255000000	3223000000	3223000000	721000000			311000000				82000000.0				579000000	773000000	288000000				716000000	1295000000	490000000
2013-06-30																																																																																																																																																																														1047000000	4070000000	3023000000	3023000000	736000000			477000000								670000000	477000000	149000000				736000000	1406000000	330000000
2013-03-31																																																																																																																																																																														275000000	3533000000	3258000000	3258000000	-32000000			216000000								688000000	-18000000	1000000				-32000000	656000000	-18000000
2012-12-31																																																																																																																																																																														165000000	3898000000	3733000000	3733000000	-136000000			179000000								788000000	266000000	127000000				-136000000	652000000	137000000
2012-09-30																																																																																																																																																																														559000000	4031000000	3472000000	3472000000	243000000			302000000				85000000.0				755000000	172000000	85000000				243000000	998000000	91000000
