	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Preferred Stock Dividends	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Ppe	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Selling General And Administration	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Preferred Shares Number	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Non Current Deferred Liabilities	Non Current Deferred Revenue	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Interest Payable	Payables	Other Payable	Dueto Related Parties Current	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Financial Assets	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Machinery Furniture Equipment	Current Assets	Other Current Assets	Hedging Assets Current	Restricted Cash	Prepaid Assets	Inventory	Other Inventories	Receivables	Duefrom Related Parties Current	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Issuance Of Capital Stock	Capital Expenditure	Interest Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Preferred Stock Dividend Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Amortization Of Securities	Depreciation Amortization Depletion	Depreciation And Amortization	Amortization Cash Flow	Amortization Of Intangibles	Depreciation	Operating Gains Losses	Gain Loss On Investment Securities	Gain Loss On Sale Of PPE	Net Income From Continuing Operations	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2026-03-31	0.0	0.0	131293000.0	-900000.0	-900000.0	93829000.0	27225000.0	91814000.0	130393000.0	103168000.0	-3673000.0	9339000.0	5666000.0	94729000.0	93829000.0	100661000.0	97418000.0	35974531.0	35974531.0	2.54	2.54	91445000.0	91445000.0	2384000.0	93829000.0	93829000.0	93829000.0	0.0	93829000.0	6331000.0	7231000.0	0.0	0.0	-900000.0	-3673000.0	9339000.0	5666000.0	91171000.0	8847000.0	8847000.0	8847000.0	8847000.0	100018000.0	91814000.0	191832000.0	191832000.0	4359200.0	35918244.0	35918244.0	247944000.0	652882000.0	1875323000.0	2528205000.0	379773000.0	1875323000.0		1875323000.0	2380638000.0	1875323000.0	1875323000.0	1176000.0	1176000.0	1173578000.0	700210000.0	359000.0	359000.0	0.0	1024325000.0	722835000.0	102868000.0	114652000.0	114652000.0	505315000.0	505315000.0	301490000.0	48023000.0	48023000.0	147567000.0		147567000.0		105900000.0	40898000.0		65002000.0		1154000.0	63848000.0	2899648000.0	2218385000.0	116413000.0	106944000.0		1995028000.0		1995028000.0	5806000.0	1989222000.0	681263000.0	25965000.0	36128000.0	50622000.0		14841000.0		55099000.0	1231000.0	53868000.0	498608000.0	93670000.0	404938000.0	79460000.0	-40000.0	-36892000.0	0.0		-816000.0	10471000.0	462430000.0	339340000.0	123090000.0	-61800000.0	-61800000.0		-24868000.0	-2384000.0	-22484000.0	-40000.0	-40000.0		-36892000.0				-36892000.0	-36892000.0	0.0	104614000.0	104614000.0	105430000.0	105430000.0		-55000.0	0.0	-55000.0	-761000.0	80276000.0	80276000.0	-43898000.0	-8543000.0	-33000000.0	-5988000.0	-5988000.0	-5988000.0	-241000.0	3874000.0	3874000.0	-4049000.0	5919000.0	350000.0	27225000.0	27225000.0	-6247000.0	-6247000.0	33472000.0	900000.0	900000.0	0.0	93829000.0		2.56	2.4	0.16	6.6667	
2025-12-31	0.0	0.0	135670000.0	16928000.0	16928000.0	102605000.0	41032000.0	93572000.0	152598000.0	111566000.0	-3074000.0	8961000.0	5887000.0	85677000.0	102605000.0	103233000.0	105659000.0	35873798.0	35873798.0	2.79	2.79	100221000.0	100221000.0	2384000.0	102605000.0	102605000.0	102605000.0	0.0	102605000.0	21561000.0	4633000.0	17943000.0	17943000.0	-1015000.0	-3074000.0	8961000.0	5887000.0	84118000.0	9661000.0	9661000.0	9661000.0	9661000.0	93779000.0	93572000.0	187351000.0	187351000.0	4359190.0	35913628.0	35913628.0	396199000.0	689142000.0	1801084000.0	2471159000.0	320205000.0	1801084000.0	19067000.0	1801084000.0	2342659000.0	1801084000.0	1801084000.0	1777000.0	1777000.0	1104617000.0	694331000.0	359000.0	359000.0	0.0	1060119000.0	753336000.0	90054000.0	121707000.0	121707000.0	541575000.0	541575000.0	306783000.0	48885000.0	48885000.0	147567000.0	19067000.0	128500000.0	128500000.0	110331000.0	47727000.0	7072000.0	62604000.0	46563000.0	692000.0	15349000.0	2861203000.0	2234215000.0	124430000.0	110936000.0	0.0	1998849000.0	-468170000.0	2467019000.0	35961000.0	2431058000.0	626988000.0	23392000.0	5234000.0	50520000.0	10231000.0	14600000.0	14600000.0	50035000.0	148000.0	49887000.0	472976000.0	199100000.0	273876000.0	101804000.0	-332000.0	-36891000.0	0.0		-91997000.0	11498000.0	339340000.0	361686000.0	-22346000.0	-62053000.0	-62053000.0	0.0	-24830000.0	-2384000.0	-22446000.0	-332000.0	-332000.0		-36891000.0				73828000.0	-144672000.0		-154094000.0	-154094000.0	-97182000.0		-97182000.0	-55369000.0	35085000.0	-90454000.0	-1543000.0	193801000.0	193801000.0	94488000.0	87138000.0	0.0	24196000.0	24196000.0	24196000.0	-1213000.0	-15633000.0	-15633000.0	-35716000.0	7600000.0	720000.0	41032000.0	41032000.0			31144000.0	-16928000.0	1015000.0	-17943000.0	102605000.0		2.32	2.41	-0.09	-3.7344	
2025-09-30	0.0	0.0	133022000.0	-1120000.0	-1120000.0	95019000.0	27341000.0	89706000.0	131902000.0	104561000.0	-4108000.0	9542000.0	5434000.0	96139000.0	95019000.0	93451000.0	99203000.0	35757185.0	35757185.0	2.59	2.59	92635000.0	92635000.0	2384000.0	95019000.0	95019000.0	95019000.0	0.0	95019000.0	3265000.0	4385000.0	-14000.0	-14000.0	-1106000.0	-4108000.0	9542000.0	5434000.0	95862000.0	3745000.0	3745000.0	3745000.0	3745000.0	99607000.0	89706000.0	189313000.0	189313000.0	4359190.0	35770652.0	35770652.0	435977000.0	725350000.0	1716962000.0	2442312000.0	339885000.0	1716962000.0		1716962000.0	2294745000.0	1716962000.0	1716962000.0	3103000.0	3103000.0	1026842000.0	686659000.0	358000.0	358000.0	0.0	950883000.0	665650000.0	55530000.0	32337000.0	32337000.0	577783000.0	577783000.0	285233000.0	51119000.0	51119000.0	147567000.0		147567000.0		86547000.0	43223000.0		43324000.0		716000.0	42608000.0	2667845000.0	2042727000.0	37159000.0	101871000.0	544000.0	1903153000.0		1903153000.0	7418000.0	1895735000.0	625118000.0	31851000.0	7823000.0	49090000.0		13387000.0		33094000.0	173000.0	32921000.0	489873000.0	200500000.0	289373000.0	109196000.0	0.0	-36892000.0	0.0	0.0	-3255000.0	12247000.0	361686000.0	496075000.0	-134389000.0	-58085000.0	-58085000.0		-21193000.0	-2384000.0	-18809000.0	0.0	0.0	0.0	-36892000.0	-36892000.0	-36892000.0	0.0	0.0	0.0		-188755000.0	-188755000.0	-185500000.0		-185500000.0	-424000.0	0.0	-424000.0	-2831000.0	112451000.0	112451000.0	-6523000.0	-8165000.0	0.0	809000.0	809000.0	809000.0	4693000.0	-3860000.0	-3860000.0	-7452000.0	2120000.0	826000.0	27341000.0	27341000.0	-3355000.0	-3355000.0	30696000.0	1120000.0	1106000.0	14000.0	95019000.0		2.62	2.37	0.25	10.5485	
2025-06-30	0.0	0.0	137684000.0	-1323000.0	-1323000.0	95437000.0	30328000.0	85913000.0	136361000.0	106033000.0	-5920000.0	10596000.0	4676000.0	96760000.0	95437000.0	89982000.0	101762000.0	35612413.0	35612413.0	2.61	2.61	93053000.0	93053000.0	2384000.0	95437000.0	95437000.0	95437000.0	0.0	95437000.0	2799000.0	4122000.0	-115000.0	-115000.0	-1208000.0	-5920000.0	10596000.0	4676000.0	98558000.0	4069000.0	4069000.0	4069000.0	4069000.0	102627000.0	85913000.0	188540000.0	188540000.0	4359190.0	35612584.0	35612584.0	345923000.0	761522000.0	1642971000.0	2404493000.0	284345000.0	1642971000.0		1642971000.0	2256926000.0	1642971000.0	1642971000.0	4613000.0	4613000.0	953016000.0	684985000.0	357000.0	357000.0	0.0	1000037000.0	718097000.0	58885000.0	45257000.0	45257000.0	613955000.0	613955000.0	281940000.0	47030000.0	47030000.0	147567000.0		147567000.0		87343000.0	41033000.0		46310000.0		720000.0	45590000.0	2643008000.0	2076723000.0	48878000.0	101467000.0	1490000.0	1924888000.0		1924888000.0	6785000.0	1918103000.0	566285000.0	28685000.0	10318000.0	48995000.0		18080000.0		29608000.0	843000.0	28765000.0	430599000.0	15000000.0	415599000.0	114012000.0	0.0	-94385000.0	85000000.0		-5221000.0	11846000.0	496075000.0	417995000.0	78080000.0	-31382000.0	-31382000.0	-850000.0	-21147000.0	-2384000.0	-18763000.0	0.0	0.0		-9385000.0				-9385000.0	-94385000.0	85000000.0	-9771000.0	-9771000.0	-4550000.0		-4550000.0	-2684000.0		-2684000.0	-2537000.0	119233000.0	119233000.0	1772000.0	-1074000.0	0.0	7815000.0	7815000.0	7815000.0	-1742000.0	-3227000.0	-3227000.0	-12606000.0	2122000.0	857000.0	30328000.0	30328000.0				1323000.0	1208000.0	115000.0	95437000.0		2.67	2.31	0.36	15.5844	
2025-03-31	0.0	0.0	133005000.0	26835000.0	26835000.0	123394000.0	26579000.0	86330000.0	159840000.0	133261000.0	-6672000.0	9867000.0	3195000.0	96559000.0	123394000.0	90935000.0	128498000.0	35584556.0	35584556.0	3.4	3.4	121010000.0	121010000.0	2384000.0	123394000.0	123394000.0	123394000.0	0.0	123394000.0	33240000.0	6405000.0	28458000.0	28458000.0	-1623000.0	-6672000.0	9867000.0	3195000.0	96826000.0	4605000.0	4605000.0	4605000.0	4605000.0	101431000.0	86330000.0	187761000.0	187761000.0	4359190.0	35605438.0	35605438.0	446987000.0	770239000.0	1568161000.0	2338400000.0	204129000.0	1568161000.0		1568161000.0	2199212000.0	1568161000.0	1568161000.0	6215000.0	6215000.0	878726000.0	682863000.0	357000.0	357000.0	0.0	1008048000.0	741750000.0	62204000.0	48495000.0	48495000.0	631051000.0	631051000.0	266298000.0	45138000.0	45138000.0	139188000.0		139188000.0		81972000.0	47950000.0		34022000.0		1234000.0	32788000.0	2576209000.0	2105782000.0	59972000.0	98182000.0	3110000.0	1944518000.0		1944518000.0	5048000.0	1939470000.0	470427000.0	32097000.0	12365000.0	53165000.0		16338000.0		22760000.0	1631000.0	21129000.0	333702000.0	10450000.0	323252000.0	33604000.0	0.0	-46897000.0	133500000.0		-69210000.0	11215000.0	417995000.0	247624000.0	170371000.0	66841000.0	66841000.0	-1335000.0	-18427000.0	-2384000.0	-16043000.0	0.0	0.0		86603000.0				86603000.0	-46897000.0	133500000.0	716000.0	716000.0	15700000.0	15700000.0		-7722000.0	54226000.0	-61948000.0	-7262000.0	102814000.0	102814000.0	-8153000.0	-9435000.0	-194000.0	5924000.0	5924000.0	5924000.0	2567000.0	-7015000.0	-7015000.0	-15385000.0	2122000.0	1092000.0	26579000.0	26579000.0	-3214000.0	-3214000.0	29793000.0	-26835000.0	1623000.0	-28458000.0	123394000.0		2.65	2.33	0.32	13.7339	
2024-12-31																																																								8717000.0																							8717000.0		136559000.0			6618000.0		14034000.0							5969000.0		-404215000.0								3338000.0		18905000.0											-207000.0								-495000.0						-207000.0														0.0																					26216000.0						2.55	2.39	0.16	6.6946	
2024-09-30																																																																																																																																																																											2.45	2.41	0.04	1.6598	
2024-06-30																																																																																																																																																																											2.46	2.29	0.17	7.4236	
2024-03-31																																																																																																																																																																											2.53	2.3	0.23	10.0	
2023-12-31																																																																																																																																																																											2.49	2.35	0.14	5.9574	
