Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-02-24 08:00:00-05:00	1.46	1.49	1.94
2025-11-04 08:00:00-05:00	1.39	1.64	18.06
2025-08-05 08:00:00-04:00	1.24	1.34	7.88
2025-05-06 08:00:00-04:00	1.35	1.47	9.08
2025-02-18 08:00:00-05:00	1.44	1.68	16.74
2024-11-05 08:00:00-05:00	1.33	1.63	23.02
2024-08-06 08:00:00-04:00	1.26	1.24	-1.6
2024-05-07 08:00:00-04:00	1.07	1.17	9.21
2024-02-20 08:00:00-05:00	1.21	1.09	-10.16
2023-11-07 08:00:00-05:00	1.28	1.16	-9.45
2023-08-08 08:00:00-04:00	1.36	1.3	-4.1
2023-05-02 08:00:00-04:00	1.33	1.47	10.24
2023-02-21 08:00:00-05:00	1.97	1.38	-29.87
2022-11-08 08:00:00-05:00	1.99	2.54	27.75
2022-08-02 08:00:00-04:00	2.14	2.27	6.0
2022-05-03 08:00:00-04:00	1.79	2.07	15.52
2022-02-22 08:00:00-05:00	2.09	2.66	27.47
2021-11-02 08:00:00-04:00	1.76	2.09	18.46
2021-08-03 08:00:00-04:00	1.67	1.84	9.96
2021-05-04 08:00:00-04:00	1.06	1.67	57.5
2021-02-16 08:00:00-05:00	1.09	1.16	6.07
2020-11-03 08:00:00-05:00	0.99	1.12	12.68
2020-08-04 08:00:00-04:00	0.72	1.09	52.3
2020-05-05 09:00:00-04:00	0.62	0.71	15.22
2020-02-18 08:00:00-05:00	0.8	0.79	-1.0
