Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-07-30 16:00:00-04:00	2.82		
2026-04-30 16:00:00-04:00	2.97	3.22	8.26
2026-02-24 16:00:00-05:00	5.24	4.84	-7.6
2025-10-30 16:00:00-04:00	4.29	4.24	-1.13
2025-07-31 16:00:00-04:00	2.68	3.18	18.77
2025-04-29 16:00:00-04:00	2.47	1.95	-21.01
2025-02-25 16:00:00-05:00	4.69	3.65	-22.11
2024-10-29 16:00:00-04:00	3.16	2.91	-7.77
2024-07-30 16:00:00-04:00	2.71	3.25	20.01
2024-05-01 16:00:00-04:00	1.99	2.2	10.34
2024-02-27 16:00:00-05:00	3.13	3.25	3.67
2023-10-31 16:00:00-04:00	2.04	2.5	22.79
2023-07-27 16:00:00-04:00	0.94	1.59	69.76
2023-04-27 16:00:00-04:00	1.02	0.4	-60.74
2023-02-28 16:00:00-05:00	-0.13	-0.07	47.64
2022-10-27 16:00:00-04:00	-0.24	-0.51	-114.24
2022-07-28 16:00:00-04:00	-0.11	-0.4	-262.88
2022-04-28 16:00:00-04:00	-0.43	-0.41	3.62
2022-03-01 16:00:00-05:00	1.08	1.23	14.3
2021-11-04 16:00:00-04:00	0.61	0.42	-30.64
2021-07-29 16:00:00-04:00	0.56	0.78	39.4
2021-04-29 16:00:00-04:00	1.22	1.96	60.84
2021-02-25 16:00:00-05:00	1.23	1.08	-12.04
2020-10-27 16:00:00-04:00	0.65	1.45	124.36
2020-08-06 16:00:00-04:00	0.19	0.35	80.55
