	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Total Other Finance Cost	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Selling And Marketing Expense	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Pensionand Other Post Retirement Benefit Plans Current	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Construction In Progress	Other Properties	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Interest Paid Supplemental Data	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Prepaid Assets	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Unrealized Gain Loss On Investment Securities	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-09-30																																																																																																																																																																				27936000000	34146000000	6210000000	6210000000	13748000000	2070000000	9241000000	14188000000		370000000.0	534000000.0	139000000				2859000000.0	14020000000	2437000000		11583000000		13748000000	16607000000.0	11583000000
2023-06-30																																																																																																																																																																				26054000000	31999000000	5945000000	5945000000	9392000000	4164000000	9344000000	16662000000		-99000000.0	323000000.0	116000000		-99000000.0		2623000000.0	9293000000	1505000000		7788000000		9392000000	12015000000.0	7788000000
2023-03-31																																																																																																																																																																				22537000000	28645000000	6108000000	6108000000	7227000000	2885000000	9381000000	15310000000		80000000.0	193000000.0	55000000		80000000.0		2524000000.0	7307000000	1598000000		5709000000		7227000000	9751000000.0	5709000000
2022-12-31																																																																																																																																																																				23829000000	32165000000	8336000000	8336000000	6399000000	3085000000	9771000000	17430000000		32000000.0	32000000.0	32000000		-249000000.0		2376000000.0	6149000000	1497000000		4653000000		6399000000	8775000000.0	4652000000
2022-09-30																																																																																																																																																																				21998000000	27714000000	5716000000	5716000000	5664000000	3384000000	9170000000	16334000000		-88000000.0	77000000.0	77000000		-88000000.0		2175000000.0	5576000000	1181000000		4395000000		5664000000	7839000000.0	4395000000
2022-06-30																																																																																																																																																																				23630000000	28822000000	5192000000	5192000000	8358000000	2987000000	8690000000	15272000000		91000000.0	91000000.0	91000000		-172000000.0		1979000000.0	8186000000	1499000000		6687000000		8358000000	10337000000.0	6687000000
2022-03-31																																																																																																																																																																				21903000000	27908000000	6005000000	6005000000	8524000000	2360000000	7707000000	13379000000		384000000.0	384000000.0	76000000		384000000.0		2156000000.0	8908000000	1443000000		7465000000		8524000000	10680000000.0	7465000000
2021-12-31																																																																																																																																																																				27323000000	33671000000	6348000000	6348000000	12585000000	3305000000	7046000000	14738000000		117000000.0	117000000.0	102000000		118000000.0		2014000000.0	12702000000	2417000000		10285000000		12585000000	14599000000.0	10285000000
2021-09-30																																																																																																																																																																				23239000000	29010000000	5771000000	5771000000	10423000000	2946000000	6316000000	12816000000		120000000.0	120000000.0	120000000		142000000.0		1995000000.0	10565000000	1371000000		9194000000		10423000000	12418000000.0	9194000000
2021-06-30																																																																																																																																																																				23678000000	29077000000	5399000000	5399000000	12367000000	1956000000	6096000000	11311000000		146000000.0	121000000.0	121000000		146000000.0		1985000000.0	12513000000	2119000000		10394000000		12367000000	14352000000.0	10394000000
2021-03-31																																																																																																																																																																				21040000000	26171000000	5131000000	5131000000	11378000000	1622000000	5197000000	9662000000		125000000.0	118000000.0	118000000		125000000.0		1972000000.0	11503000000	2006000000		9497000000		11378000000	13350000000.0	9497000000
2020-12-31																																																																																																																																																																				22862000000	28072000000	5210000000	5210000000	12775000000	1599000000	5208000000	10087000000		280000000.0	136000000.0	136000000		280000000.0		1863000000.0	13055000000	1836000000		11220000000		12775000000	14638000000.0	11219000000
2020-09-30																																																																																																																																																																				17276000000	21470000000	4194000000	4194000000	8040000000	1790000000	4763000000	9236000000		146000000.0	146000000.0	146000000		93000000.0		1698000000.0	8133000000	287000000		7846000000		8040000000	9738000000.0	7846000000
2020-06-30																																																																																																																																																																				14858000000	18687000000	3829000000	3829000000	5963000000	1593000000	4462000000	8895000000		162000000.0	162000000.0	162000000		168000000.0		1704000000.0	6131000000	953000000		5178000000		5963000000	7667000000.0	5178000000
2020-03-31																																																																																																																																																																				14278000000	17737000000	3459000000	3459000000	5893000000	1583000000	4015000000	8385000000		228000000.0	228000000.0	228000000		-32000000.0		1597000000.0	5861000000	959000000		4902000000		5893000000	7490000000.0	4902000000
2019-12-31																																																																																																																																																																				17590000000	21082000000	3492000000	3492000000	8858000000	1829000000	3877000000	8732000000		229000000.0	249000000.0	229000000		311000000.0		1468000000.0	9169000000	1820000000		7349000000		8858000000	10326000000.0	7349000000
