	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Total Other Finance Cost	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Selling And Marketing Expense	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Pensionand Other Post Retirement Benefit Plans Current	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Construction In Progress	Other Properties	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Interest Paid Supplemental Data	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Prepaid Assets	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Unrealized Gain Loss On Investment Securities	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2019-09-30																																																																																																																																																																				14497000000	17652000000	3155000000	3155000000	7185000000	1348000000	3548000000	7312000000		258000000.0	258000000.0	258000000		144000000.0		1416000000.0	7329000000	1238000000		6091000000		7185000000	8601000000.0	6091000000
2019-06-30																																																																																																																																																																				13579000000	16886000000	3307000000	3307000000	4626000000	3224000000	3315000000	8953000000		219000000.0	219000000.0	219000000		206000000.0		1502000000.0	4832000000	2216000000		2616000000		4626000000	6128000000.0	2616000000
2019-03-31																																																																																																																																																																				12261000000	15077000000	2816000000	2816000000	3317000000	4064000000	2860000000	8944000000		198000000.0	198000000.0	198000000		165000000.0		1355000000.0	3482000000	1053000000		2429000000		3317000000	4672000000.0	2429000000
2018-12-31																																																																																																																																																																				14118000000	16914000000	2796000000	2796000000	7820000000	976000000	2855000000	6298000000				187000000		151000000.0		1225000000.0	7971000000	1089000000		6881000000		7820000000	9045000000.0	6882000000
2018-09-30																																																																																																																																																																				11309000000	13727000000	2418000000	2418000000	5781000000	943000000	2657000000	5528000000				176000000		131000000.0		1107000000.0	5912000000	775000000		5137000000		5781000000	6888000000.0	5137000000
2018-06-30																																																																																																																																																																				11017000000	13231000000	2214000000	2214000000	5863000000	776000000	2523000000	5154000000				143000000		5000000.0		1034000000.0	5868000000	762000000		5106000000		5863000000	6897000000.0	5106000000
2018-03-31																																																																																																																																																																				10039000000	11966000000	1927000000	1927000000	5449000000	757000000	2238000000	4590000000				145000000		161000000.0		949000000.0	5610000000	622000000		4988000000		5449000000	6398000000.0	4988000000
2017-12-31																																																																																																																																																																				11361000000	12972000000	1611000000	1611000000	7352000000	686000000	1949000000	4009000000				126000000		109000000.0		853000000.0	7462000000	3194000000		4269000000		7352000000	8205000000.0	4268000000
2017-09-30																																																																																																																																																																				8880000000	10328000000	1448000000	1448000000	5122000000	536000000	2052000000	3758000000				108000000		114000000.0		773000000.0	5236000000	529000000		4707000000		5122000000	5895000000.0	4707000000
2017-06-30																																																																																																																																																																				8084000000	9321000000	1237000000	1237000000	4401000000	640000000	1919000000	3683000000				91000000		87000000.0		728000000.0	4488000000	594000000		3894000000		4401000000	5129000000.0	3894000000
2017-03-31																																																																																																																																																																				6873000000	8032000000	1159000000	1159000000	3327000000	655000000	1834000000	3546000000				67000000		81000000.0		671000000.0	3408000000	344000000		3064000000		3327000000	3998000000.0	3064000000
2016-12-31																																																																																																																																																																				7762000000	8809000000	1047000000	1047000000	4566000000	515000000	1563000000	3196000000				56000000		-32000000.0		614000000.0	4533000000	965000000		4273000000		4566000000	5180000000.0	3568000000
2016-09-30																																																																																																																																																																				6024000000	7011000000	987000000	987000000	3122000000	438000000	1539000000	2902000000				50000000		47000000.0		591000000.0	3169000000	790000000		2379000000		3122000000	3713000000.0	2379000000
2016-06-30																																																																																																																																																																				5520000000	6436000000	916000000	916000000	2746000000	412000000	1463000000	2774000000				32000000		20000000.0		585000000.0	2766000000	711000000		2055000000		2746000000	3331000000.0	2055000000
2016-03-31																																																																																																																																																																				4544000000	5382000000	838000000	838000000	2009000000	366000000	1343000000	2535000000				27000000		56000000.0		552000000.0	2065000000	555000000		1505000000		2009000000	2561000000.0	1510000000
2015-12-31																																																																																																																																																																				5017000000	5841000000	824000000	824000000	2560000000	371000000	1314000000	2457000000				14000000		-3000000.0		543000000.0	2557000000	995000000		1561000000		2560000000	3103000000.0	1562000000
2015-09-30																																																																																																																																																																				3781000000	4501000000	720000000	720000000	1459000000	345000000	1271000000	2322000000				7000000		-27000000.0		486000000.0	1432000000	536000000		896000000		1459000000	1945000000.0	896000000
2015-06-30																																																																																																																																																																				3374000000	4042000000	668000000	668000000	1273000000	305000000	1170000000	2101000000				5000000				459000000.0	1273000000	554000000		719000000		1273000000	1732000000.0	719000000
2015-03-31																																																																																																																																																																				2889000000	3543000000	654000000	654000000	933000000	274000000	1062000000	1956000000				2000000		-1000000.0		457000000.0	932000000	420000000		512000000		933000000	1390000000.0	512000000
2014-12-31																																																																																																																																																																				3198000000	3851000000	653000000	653000000	1133000000	330000000	1111000000	2065000000				23000000		-19000000.0		433000000.0	1114000000	413000000		701000000		1133000000	1566000000.0	701000000
2014-09-30																																																																																																																																																																				2638000000	3203000000	565000000	565000000	1397000000	259000000	608000000	1241000000				4000000		-61000000.0		289000000.0	1336000000	530000000		806000000		1397000000	1686000000.0	806000000
2014-06-30																																																																																																																																																																				2437000000	2910000000	473000000	473000000	1390000000	197000000	492000000	1047000000				4000000		-4000000.0		257000000.0	1386000000	595000000		791000000		1390000000	1647000000.0	791000000
2014-03-31																																																																																																																																																																				2040000000	2502000000	462000000	462000000	1075000000	187000000	455000000	965000000				19000000				264000000.0	1075000000	433000000		642000000		1075000000	1339000000.0	642000000
2013-12-31																																																																																																																																																																				2094000000	2585000000	491000000	491000000	1133000000	261000000	408000000	961000000				7000000		3000000.0		274000000.0	1130000000	607000000		523000000		1133000000	1407000000.0	523000000
2013-09-30																																																																																																																																																																				1509000000	2016000000	507000000	507000000	736000000	171000000	369000000	773000000				21000000		11000000.0		274000000.0	726000000	301000000		425000000		736000000	1010000000.0	425000000
2013-06-30																																																																																																																																																																				1348000000	1813000000	465000000	465000000	562000000	173000000	344000000	786000000				14000000		-3000000.0		230000000.0	545000000	212000000		333000000		562000000	792000000.0	333000000
2013-03-31																																																																																																																																																																				1045000000	1458000000	413000000	413000000	373000000	176000000	293000000	672000000				15000000		-5000000.0		241000000.0	353000000	134000000		219000000		373000000	614000000.0	219000000
2012-12-31																																																																																																																																																																				1187000000	1585000000	398000000	398000000	523000000	174000000	297000000	664000000				16000000				224000000.0	505000000	441000000		0		523000000	747000000.0	64000000
2012-09-30																																																																																																																																																																				940000000	1262000000	322000000	322000000	377000000	151000000	244000000	563000000				11000000		6000000.0		176000000.0	372000000	431000000		-59000000		377000000	553000000.0	-59000000
2012-06-30																																																																																																																																																																				817000000	1184000000	367000000	367000000	-743000000	463000000	705000000	1560000000				10000000		-12000000.0		139000000.0	-765000000	-608000000		-157000000		-743000000	-604000000.0	-157000000
2012-03-31																																																																																																																																																																				781000000	1058000000	277000000	277000000	381000000	88000000	153000000	400000000				13000000				110000000.0	382000000	177000000		0		381000000	491000000.0	205000000
2011-12-31																																																																																																																																																																				884000000	1131000000	247000000	247000000	547000000	58000000	124000000	337000000				16000000				103000000.0	519000000	217000000		0		547000000	650000000.0	302000000
2011-09-30																																																																																																																																																																				718000000	954000000	236000000	236000000	414000000	82000000	108000000	304000000				10000000				97000000.0	379000000	152000000		0		414000000	511000000.0	227000000
2011-06-30																																																																																																																																																																				685000000	895000000	210000000	210000000	407000000	83000000	99000000	278000000				9000000				72000000.0	399000000	159000000		0		407000000	479000000.0	240000000
2011-03-31																																																																																																																																																																				564000000	731000000	167000000	167000000	388000000	51000000	57000000	176000000				7000000				51000000.0	398000000	165000000		0		388000000	439000000.0	233000000
2010-12-31																																																																																																																																																																				1620000000	730000000	151000000	151000000	435000000	144000000	46000000	0				22000000					1008000000	402000000		0		435000000		251000000
2010-09-30																																																																																																																																																																				0	467000000	131000000	131000000	216000000	120000000	41000000	0				0					0	0		0		216000000		131000000
2010-06-30																																																																																																																																																																				0	432000000	111000000	111000000	219000000	102000000	32000000	0				0					0	0		0		219000000		129000000
2010-03-31																																																																																																																																																																				0	345000000	100000000	100000000	162000000	83000000	25000000	0				0					0	0		0		162000000		95000000
