Date	Sentiment_Daily	News_Volume
2026-01-09	0.0000	1
2026-03-17	0.0000	2
2026-03-30	0.0000	1
2026-04-23	0.0000	1
2026-05-01	0.0000	1
2026-05-06	0.0000	1
2026-05-12	0.4000	1
2026-05-14	0.0000	1
2026-05-26	0.4000	1
2026-06-01	0.4500	1
2026-06-08	0.4000	1
2026-06-11	0.0000	1
2026-06-12	0.0000	1
2026-06-17	0.0000	1
2026-06-18	0.0000	1
2026-06-19	0.0000	1
2026-06-24	-0.1560	1
2026-07-01	0.0000	1
2026-07-13	0.0000	1
2026-07-14	-0.5000	1
2026-07-21	0.0625	2
2026-07-22	0.0000	1
2026-07-23	0.2500	1
2026-07-24	0.0000	1
2026-07-25	-0.1560	1
2026-07-26	0.0000	1
2026-07-29	0.3505	2
2026-07-30	0.1500	2
2026-07-31	0.2277	3
2026-08-02	0.5500	1
2026-08-03	0.2330	1
2026-08-04	-0.1670	1
2026-08-05	0.0000	1
2026-08-06	0.1625	4
2026-08-07	0.4250	1
2026-08-08	-0.3120	1
2026-08-09	0.0000	1
2026-08-10	0.6000	1
2026-08-11	0.0000	2
2026-08-12	0.2500	1
2026-08-13	0.5000	1
2026-08-14	0.0000	1
2026-08-15	0.0000	1
2026-08-16	-0.2000	1
2026-08-17	0.0275	4
2026-08-18	-0.0200	1
2026-08-19	0.1484	5
2026-08-20	-0.0408	5
2026-08-21	0.1488	8
2026-08-22	0.0000	1
2026-08-23	0.1830	2
2026-08-24	0.1840	15
2026-08-25	0.1576	48
2026-08-26	0.1044	7
2026-08-27	0.0312	4
2026-08-28	0.0732	4
2026-08-29	0.0000	1
2026-08-30	0.0583	13
2026-08-31	0.0080	25
2026-09-01	0.0000	1
2026-09-02	0.1047	35
2026-09-03	0.0024	23
2026-09-04	0.0691	38
2026-09-06	-0.0333	3
2026-09-07	-0.0023	6
2026-09-08	-0.0156	16
2026-09-09	0.1348	24
2026-09-10	0.2203	3
2026-09-11	0.0584	10
2026-09-12	-0.0333	3
2026-09-13	0.1375	2
2026-09-14	-0.0226	16
2026-09-15	0.0080	24
2026-09-16	0.0050	5
2026-09-17	0.0643	21
2026-09-18	-0.0500	2
