	Tax Effect Of Unusual Items	Tax Rate For Calcs	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Gain On Sale Of Security	Operating Expense	Selling General And Administration	General And Administrative Expense	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Long Term Debt And Capital Lease Obligation	Payables	Other Payable	Total Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Long Term Equity Investment	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Prepaid Assets	Receivables	Cash And Cash Equivalents	Cash Cash Equivalents And Federal Funds Sold	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Accrued Expense	Change In Payable	Change In Receivables	Other Non Cash Items	Depreciation And Amortization	Amortization Cash Flow	Depreciation	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2025-12-31	0.0	0.162101	1015201000.0	9099000.0	-17343000.0	128089000.0	110746000.0	1015201000.0	1015201000.0	783193449.0	783106052.0	1.3	1.3	1015201000.0	1015201000.0	1015201000.0	-959590000.0	1974791000.0	1974791000.0	382045000.0	2356836000.0	1650202000.0	1379619000.0	460396000.0	460396000.0	3736455000.0	3736455000.0	783183010.0	783183010.0	9813903000.0	13306165000.0	6643965000.0	21110670000.0	6643965000.0	8665526000.0	21110670000.0	21881172000.0	13215646000.0	8665526000.0	191641000.0	8479886000.0	7000.0	7000.0	0.0	25827803000.0	13306165000.0	3224432000.0	3224432000.0	47708975000.0	32346668000.0	12820122000.0	12672785000.0	19526546000.0	2021561000.0	131359000.0	1890202000.0	1278648000.0	-431394000.0	1710042000.0	315338000.0	6649220000.0	2631241000.0	2854682000.0	1045445000.0	-51067000.0	-906696000.0	1587007000.0	-22350000.0	2854682000.0	2832248000.0	-3413000.0	25847000.0	-1019598000.0	-51289000.0	-1597553000.0	-1597553000.0	-51067000.0	-51067000.0	680311000.0	680311000.0	-906696000.0	1587007000.0	-22350000.0			-22350000.0	-22350000.0	1067795000.0	-868554000.0	0.0	-251182000.0	-679278000.0	71119000.0	-9213000.0	658670000.0	9099000.0	9099000.0	0.0	-706211000.0	1974791000.0		2811254000	4360272000	1549018000	1549018000	2363476000	447778000		447778000		-17343000.0	114858000.0	128089000				8975000	2356836000	382045000		1974791000		2363476000	2372451000	1015201000	47708975000.0	9503902000.0	2854682000.0	2854682000.0		6649220000.0	38205073000.0	757459000.0		131359000.0	131359000.0	1890202000.0		32346668000.0		-9503902000.0		25827803000.0	12521638000.0	2885817000.0				12445144000.0		12445144000.0			14167186000.0	12521638000.0		8665526000.0		191641000.0	7000.0	780923846	-3139000.0					9099000.0	22350000				1236081000.0	-1203421000.0					1597553000.0	1597553000.0					-51067000.0		-745130000.0				1.75	1.53	0.22	14.3791	
2025-09-30	0.0	0.145	624917000.0	8975000.0	-18750000.0	126288000.0	107538000.0	624917000.0	624917000.0	782681135.0	782633394.0	0.8	0.8	624917000.0	624917000.0	624917000.0	-612008000.0	1236925000.0	1236925000.0	209657000.0	1446582000.0	1258582000.0	1239299000.0	393640000.0	393640000.0	2685881000.0	2685881000.0	782728403.0	782728403.0	9571960000.0	12888785000.0	6361863000.0	20395173000.0	6361863000.0	8392523000.0	20395173000.0	21361441000.0	12968918000.0	8392523000.0	184040000.0	8214078000.0	7000.0	7000.0	0.0	25192849000.0	12888785000.0	3000083000.0	3000083000.0	46554290000.0	31652285000.0	12782136000.0	12641760000.0	18870149000.0	2030660000.0	140458000.0	1890202000.0	1297658000.0	-425599000.0	1723257000.0	192522000.0	6389052000.0	2430690000.0	2832248000.0	1573716000.0	-126050000.0	-200000000.0	202173000.0	-23929000.0	2832248000.0	2549449000.0	-3591000.0	286390000.0	-1287326000.0	178375000.0	-1341824000.0	-1341824000.0	-126050000.0	-126050000.0	2173000.0	2173000.0	-200000000.0	202173000.0	-23929000.0			-23929000.0	-23929000.0	1597645000.0	-167460000.0	0.0	-37570000.0	-108780000.0	492413000.0	-513523000.0	799857000.0	8975000.0	8975000.0	0.0	-280652000.0	1236925000.0		2685881000	2812169000	126288000	126288000	1446582000	393640000		1239299000		-18750000.0	107538000.0	126288000				8975000	1446582000	209657000		1236925000		1446582000	1455557000	624917000	45078078000.0	8044005000.0	2430690000.0	2430690000.0		5432090000.0	37701648000.0	1297658000.0		140458000.0	140458000.0	1890202000.0		31652285000.0		181225000.0		25192849000.0	21306631000.0	2918023000.0			198695000.0	25192849000.0		12002650000.0			12888785000.0	18189913000.0		8396603000.0		184040000.0	7000.0	782401000	1597645000.0					8975000.0	23929000				-23929000.0	-1287326000.0					1341824000.0	1341824000.0					-126050000.0						1.52	1.23	0.29	23.5772	
2025-06-30	0.0	0.151	764244000.0	8974000.0	-35433000.0	135822000.0	100389000.0	764244000.0	764244000.0	782401237.0	782386121.0	0.98	0.98	764244000.0	764244000.0	764244000.0	-861889000.0	1626133000.0	1626133000.0	289494000.0	1915627000.0	1063321000.0	1245609000.0	375251000.0	375251000.0	3161236000.0	3161236000.0	782567390.0	782567390.0	9773371000.0	12927757000.0	6314843000.0	20361209000.0	6314843000.0	8352339000.0	20361209000.0	21078880000.0	12726541000.0	8352339000.0	362614000.0	7988663000.0	7000.0	7000.0	0.0	24294214000.0	12927757000.0	2802514000.0	2802514000.0	45373094000.0	31261189000.0	12263784000.0	12117928000.0	18997405000.0	2037496000.0	147294000.0	1890202000.0	1318534000.0	-406608000.0	1725142000.0	168967000.0	5874678000.0	2235499000.0	2549449000.0	848357000.0	-35237000.0	-645467000.0	0.0	-40146000.0	2549449000.0	3399937000.0	12271000.0	-862759000.0	-1711116000.0	185059000.0	-1215471000.0	-1215471000.0	-35237000.0	-35237000.0	-645467000.0	-645467000.0	-645467000.0	0.0	-40146000.0			-40146000.0	-40146000.0	888503000.0	-1117256000.0	0.0	72045000.0	-256466000.0	-786482000.0	-146353000.0	701753000.0	8974000.0	8974000.0	0.0	-331101000.0	1626133000.0		3576078000	3711900000	135822000	135822000	1915627000	360817000		1660451000		-35433000.0	136330000.0	135822000				8974000	1915627000	289494000		1626133000		1915627000	1924601000	764244000	45373094000.0	8279144000.0	2235499000.0	2235499000.0		5874678000.0	37093950000.0	793690000.0		147294000.0	147294000.0	1890202000.0		31261189000.0		168967000.0		24294214000.0	11366457000.0				0.0	24294214000.0		12008870000.0			12927757000.0	11366457000.0		8352339000.0		362614000.0	7000.0	782401000	888503000.0					8974000.0	40146000				-40146000.0	-1711116000.0					1215471000.0	1215471000.0					-35237000.0						1.21	1.09	0.12	11.0092	
2025-03-31	0.0	0.168	614852000.0	8975000.0	-20695000.0	118115000.0	97420000.0	614852000.0	614852000.0	772434602.0	771796385.0	0.8	0.8	614852000.0	614852000.0	614852000.0	-593922000.0	1208774000.0	1208774000.0	243827000.0	1452601000.0	805167000.0	1373839000.0	344477000.0	344477000.0	2826440000.0	2826440000.0	773038934.0	773038934.0	10067580000.0	13391928000.0	5931649000.0	20432679000.0	5931649000.0	7978120000.0	20432679000.0	19864903000.0	11886783000.0	7978120000.0	320160000.0	7686980000.0	7000.0	7000.0	0.0	25390726000.0	13391928000.0	3361900000.0	3361900000.0	45255629000.0	30434515000.0	11171069000.0	10983753000.0	19263446000.0	2046471000.0	156269000.0	1890202000.0	1321070000.0	-503287000.0	1824357000.0	181225000.0	5655278000.0	2386979000.0	3399937000.0	1079940000.0	-100126000.0	-60895000.0	1024556000.0	-29278000.0	3399937000.0	2176192000.0	4570000.0	1219175000.0	139235000.0	1134237000.0	-1858537000.0	-1858537000.0	-100126000.0	-100126000.0	963661000.0	963661000.0	-60895000.0	1024556000.0	-29278000.0			-29278000.0	-29278000.0	1109218000.0	415289000.0	0.0	-19165000.0	-449351000.0	613129000.0	270676000.0	594478000.0	8975000.0	8975000.0	0.0	-1118298000.0	1208774000.0		2826440000	2944555000	118115000	118115000	1452601000	344477000		1373839000		-20695000.0	97420000.0	118115000				8975000	1452601000	243827000		1208774000		1452601000	1461576000	614852000	45255629000.0	8223482000.0	2386979000.0	2386979000.0		5655278000.0	37032147000.0	1321070000.0		156269000.0	156269000.0	1890202000.0		30434515000.0		181225000.0		25390726000.0					0.0	25390726000.0		12454559000.0			13391928000.0			7978120000.0		320160000.0	7000.0	772434602	1109218000.0					8975000.0	29278000				-29278000.0	139235000.0					1858537000.0	1858537000.0					-100126000.0		471302000.0				1.09	1.06	0.03	2.8302	
2024-12-31	0.0	0.148885	703873000.0	9021000.0	-16985000.0	115532000.0	98547000.0	703873000.0	703873000.0	768769985.0	768689957.0	0.92	0.92	703873000.0	703873000.0	703873000.0	-624953000.0	1328826000.0	1328826000.0	232451000.0	1561277000.0	1963289000.0	1141366000.0	345382000.0	345382000.0	2702643000.0	2702643000.0	768722241.0	768722241.0	9348816000.0	12286698000.0	6156876000.0	19533277000.0	6156876000.0	8212321000.0	19533277000.0	19495015000.0	11282694000.0	8212321000.0	808079000.0	7444561000.0	7000.0	7000.0	0.0	23974860000.0	12286698000.0	2808148000.0	2808148000.0	43469875000.0	29980875000.0	11036781000.0	10843229000.0	18944094000.0	2055445000.0	165243000.0	1890202000.0	1344938000.0	-483200000.0	1828138000.0	192777000.0	5647245000.0	1972140000.0	2176192000.0	149519000.0	-59825000.0	-19434000.0		-11886000.0	2176192000.0	2533877000.0	-17264000.0	-340421000.0	-489940000.0	-63482000.0	-1088372000.0	-1088372000.0	-59825000.0	-59825000.0	721739000.0	721739000.0	-19434000.0		-11886000.0	0.0	0.0	-11886000.0	-11886000.0	161405000.0	-510027000.0	0.0	59014000.0	-654358000.0	-28932000.0	114249000.0	1616776000.0	9021000.0	9021000.0	0.0	-2283191000.0	1328826000.0		2702643000	2818175000	115532000	115532000	1561277000	345382000		1141366000		-16985000.0	98547000.0	115532000				9021000	1561277000	232451000		1328826000		1561277000	1570298000	703873000	43469875000.0	7812162000.0	1972140000.0	1972140000.0		5647245000.0	35657713000.0	1344938000.0		165243000.0	165243000.0	1890202000.0		29980875000.0		192777000.0		23974860000.0					0.0	23974860000.0		11320956000.0			12286698000.0			8212321000.0		808079000.0	7000.0	768769985	161405000.0					9021000.0	11886000				-11886000.0	-489940000.0					1088372000.0	1088372000.0					-59825000.0						1.69	1.47	0.22	14.966	
2024-09-30																																																																			0.0															0.0		0.0	0.0																	2886396000	2997733000	111337000	111337000	1809940000	344415000		1076456000		-1563000.0	109774000.0	111337000				8981000	1809940000	245303000		1564637000		1809940000	1818921000	780835000	42575442000.0	8065128000.0	2353332000.0	2353332000.0		5463887000.0	34510314000.0	1495556000.0		174265000.0	174265000.0	1890202000.0		28464652000.0		247909000.0		23110501000.0	2620530000.0				44892000.0	23110501000.0		10752246000.0			11888917000.0	2620530000.0		7007657000.0		760471000.0	7000.0	768280366	1221850000.0					8981000.0	19387000				-19387000.0	-1279100000.0					1071200000.0	1071200000.0					-216378000.0		264200000.0				1.01	0.91	0.1	10.989	
2024-06-30																																																																																				0.0	0.0																	2293144000	2401760000	108616000	108616000	1208609000	317888000		1084535000		-3617000.0	104999000.0	108616000				8982000	1208609000	260246000		948363000		1208609000	1217591000	444414000	40585029000.0	7840577000.0	2381436000.0	2381436000.0		5115607000.0	32744452000.0			183246000.0	183246000.0	1890202000.0		26615335000.0	-26373172000.0	343534000.0		21910734000.0	5703156000.0				84739000.0	21910734000.0					11830510000.0	-84739000.0		6833573000.0		607564000.0	7000.0	769234677	1158561000.0					8982000.0	12380000				-12380000.0	-1216512000.0					1088076000.0	1088076000.0					-248494000.0		301000000.0				0.96	0.99	-0.03	-3.0303	
2024-03-31																																																																																																						3048357000	3156560000	108203000	108203000	1879654000	373900000		1168703000		-10364000.0	97839000.0	108203000				8981000	1879654000	283671000		1595983000		1879654000	1888635000	847386000	39706302000.0	7713870000.0	2504471000.0	2504471000.0		4894526000.0	31992432000.0			192227000.0	192227000.0	1890202000.0		26085954000.0		314873000.0		21228868000.0	2023359000.0	2023359000.0			124596000.0	19205509000.0					11691819000.0	-2023359000.0		6955068000.0		796201000.0	7000.0	760257644	939846000.0					8981000.0	17756000				-17756000.0	-1516009000.0					1176535000.0	1176535000.0					-136368000.0		320653000.0				0.98	0.96	0.02	2.0833	
2023-12-31																																																																																																						1105800000	1214532000	108732000	108732000	155080000	289760000		950720000		59642000.0	168374000.0	108732000				9002000	155080000	45957000		109123000		155080000	164082000	151800000	40287530000.0	7823638000.0	2955866000.0	2955866000.0		4659886000.0	32463892000.0			201208000.0	201208000.0	1890202000.0		26317512000.0		207886000.0		22212316000.0	2277258000.0	2277258000.0			163003000.0	19935058000.0					12293882000.0	-2440261000.0		6816798000.0		660734000.0	7000.0	758278385	895688000.0					9002000.0	31327000		488633000.0		-31327000.0	-712266000.0					1039320000.0	1039320000.0					-43623000.0		189787000.0				1.11	0.95	0.16	16.8421	
2023-09-30																																																																																																						2135690000	2246289000	110599000	110599000	1117302000	318120000		1018388000		-1466000.0	49078000.0	110599000				9011000	1117302000	196560000		920742000		1117302000	1126313000	551994000	41663823000.0	8254125000.0	2971614000.0	2971614000.0	8201914000.0	5092119000.0	33409698000.0	864691000.0		210210000.0	210210000.0	1890202000.0		27339857000.0		190392000.0		22853102000.0	1588748000.0	1588748000.0			329160000.0	21264354000.0		12111377000.0			13092993000.0	-2848336000.0		7132823000.0		1114009000.0	7000.0	758046096	1082914000.0					9011000.0	62668000		-101630000.0		-62668000.0	-1400572000.0					1039046000.0	1039046000.0					-175169000.0		255616000.0				0.94	1.01	-0.07	-6.9307	
