Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2025-11-07 06:00:00-05:00	1.96	1.75	-10.54
2025-08-08 06:00:00-04:00	1.0	0.81	-19.35
2025-05-08 06:00:00-04:00	0.68	-0.93	-237.63
2025-02-28 06:00:00-05:00	1.45	1.14	-21.21
2024-11-08 06:00:00-05:00	1.26	5.25	317.01
2024-08-09 06:00:00-04:00	1.38	0.9	-34.85
2024-05-10 06:00:00-04:00	0.27	-0.24	-189.21
2024-02-29 06:00:00-05:00	-0.17	-0.55	-215.33
2023-11-07 10:00:00-05:00	1.06	1.25	17.39
2023-08-09 10:00:00-04:00	0.82	1.17	42.68
2023-05-09 09:00:00-04:00	-0.11	1.71	1598.82
2023-03-01 09:00:00-05:00	4.34	-0.73	-116.81
2022-11-04 10:00:00-04:00	1.93	1.51	-21.56
2022-08-05 09:00:00-04:00	0.37	-3.27	-985.7
2022-05-06 07:00:00-04:00	0.23	-0.72	-420.0
2022-02-25 07:00:00-05:00	1.98	1.45	-26.65
2021-11-05 07:00:00-04:00	1.68	0.01	-99.4
2021-08-05 07:00:00-04:00	0.59	0.07	-88.22
2021-05-04 08:00:00-04:00	-2.59	-4.21	-62.68
2021-02-26 07:00:00-05:00	1.15	-0.05	-104.35
2020-11-04 07:00:00-05:00	0.97	0.9	-7.4
2020-08-05 07:00:00-04:00	0.51	0.34	-33.2
2020-05-05 08:00:00-04:00	0.51	0.11	-78.37
2020-02-28 09:00:00-05:00	0.61	0.43	-29.64
2019-11-05 06:00:00-05:00	0.89	0.23	-74.06
