	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Other Operating Expenses	Selling General And Administration	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Other Payable	Dueto Related Parties Current	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Prepaid Assets	Financial Assets	Investments And Advances	Long Term Equity Investment	Investmentsin Associatesat Cost	Goodwill And Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Other Properties	Machinery Furniture Equipment	Buildings And Improvements	Properties	Current Assets	Other Current Assets	Hedging Assets Current	Inventory	Other Inventories	Work In Process	Receivables	Other Receivables	Duefrom Related Parties Current	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Cash Dividends Paid	Common Stock Dividend Paid	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Interest Received Cfo	Interest Paid Cfo	Change In Working Capital	Other Non Cash Items	Depreciation Amortization Depletion	Depreciation And Amortization	Depreciation	Operating Gains Losses	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Gain Loss On Sale Of PPE	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2026-03-31	761.778842	0.001018	599166000.0	748000.0	748000.0	559120000.0		318284000.0	599914000.0	599914000.0	-37542000.0	40224000.0	2682000.0	558372761.778842	559120000.0	129117000.0	585125000.0	222622889.0	222622889.0	2.51	2.51	559120000.0	559120000.0	559120000.0	559120000.0	559120000.0	570000.0	559690000.0	12107000.0	11359000.0	748000.0	-37542000.0	40224000.0	2682000.0	585125000.0	-189167000.0	-215085000.0	25918000.0	25918000.0	25918000.0	395958000.0	318284000.0	714242000.0	714242000.0	222622889.0	222622889.0	2160328000.0	2631087000.0	2728796000.0	5472335000.0	487639000.0	2728796000.0		2841248000.0	5192742000.0	2840776000.0	-472000.0	2841248000.0	517000.0	517000.0	1009327000.0	1608781000.0	222623000.0	222623000.0	2824723000.0	2353220000.0	1726000.0	2351494000.0		2351494000.0	471503000.0			279593000.0		279593000.0		191910000.0		191910000.0	191910000.0			5665499000.0	4706357000.0	5562000.0			20150000.0	20150000.0	20150000.0	112452000.0	112452000.0	4568193000.0		4568193000.0		4252491000.0	315702000.0	0.0	959142000.0	487470000.0									471672000.0	913000.0	470759000.0	59454000.0	-591521000.0	151604000.0	-323042000.0	470759000.0	251347000.0	219412000.0	-669219000.0	-669219000.0	-229302000.0	-229302000.0	-439917000.0	-439917000.0	-591521000.0	151604000.0	506135000.0	506135000.0	1887000.0	1887000.0	504248000.0	827290000.0	-323042000.0	382496000.0															395958000.0	714242000.0	318284000.0	318284000.0	370040000.0	25918000.0		25918000.0		-37542000.0	2682000.0	40224000.0				75996000.0	559690000.0	570000.0		559120000.0		370040000.0	446036000.0	559120000.0	5665499000.0	959142000.0	470759000.0	470759000.0			4706357000.0					112452000.0		20150000.0	913000.0	487470000.0		2824723000.0	471503000.0				279593000.0	2353220000.0		2351494000.0	279593000.0		2631087000.0	191910000.0		2841248000.0		1009327000.0	222623000.0	222622889.0	382496000.0					75996000.0	323042000.0				506135000.0	-669219000.0					229302000.0	229302000.0											1.55	1.58	-0.03	-1.8987	
2025-12-31	25725.845875	0.00515	272950000.0	4995000.0	4995000.0	227932000.0		335599000.0	277945000.0	277945000.0	-47706000.0	48833000.0	2323000.0	222962725.845875	227932000.0	352696000.0	277740000.0	222622889.0	222622889.0	1.02	1.02	227932000.0	227932000.0	227932000.0	227932000.0	227932000.0	1180000.0	229112000.0	5007000.0	12000.0	-934000.0	-47706000.0	48833000.0	2323000.0	271811000.0	17097000.0	5929000.0	11168000.0	11168000.0	-20346000.0	288908000.0	335599000.0	624507000.0	624507000.0	222622889.0	222622889.0	2816398000.0	3067745000.0	2398898000.0	5579095000.0	212546000.0	2398898000.0	0.0	2511350000.0	5258575000.0	2510878000.0	-472000.0	2511350000.0	437000.0	437000.0	679509000.0	1608781000.0	222623000.0	222623000.0	3242749000.0	2748043000.0	818000.0	2747225000.0	0.0	2747225000.0	494706000.0	2631000.0	2631000.0	320520000.0	0.0	320520000.0	320520000.0	171555000.0	103949000.0	67606000.0	25929000.0	31064000.0	10613000.0	5753627000.0	5046375000.0	4406000.0		8730000.0	8791000.0	8791000.0	8791000.0	112452000.0	112452000.0	4911996000.0	-1120239000.0	6032235000.0	172031000.0	5860204000.0			707252000.0	22858000.0	295000.0	261166000.0	120067000.0	141099000.0	169519000.0	32889000.0	13091000.0	123539000.0	253414000.0	2067000.0	251347000.0	276460000.0	-172241000.0	0.0	-6893000.0	251347000.0	189427000.0	61920000.0	-214539000.0	-214539000.0	-42298000.0	-42298000.0	-172241000.0	-172241000.0	-172241000.0	0.0	-6894000.0	-6894000.0	-1000.0	-1000.0	-6893000.0	0.0	-6893000.0	283353000.0															288908000.0	624507000.0	335599000.0	335599000.0	277740000.0	11168000.0		11168000.0		-47706000.0	2323000.0	51012000.0				82199000.0	229112000.0	1180000.0		227932000.0		280124000.0	362323000.0	227932000.0	5753627000.0	707252000.0	251347000.0	251347000.0	261166000.0	123539000.0	5046375000.0	4911996000.0				112452000.0		8791000.0	2067000.0	453838000.0		3242749000.0	494706000.0	10613000.0			320520000.0	2748042999.0	0.0	2747225000.0	320520000.0		3067745000.0	174186000.0		2510878000.0		1683603000.0	222623000.0	222622889.0	283352000.0					82199000.0	6893000.0				-6893000.0	-214539000.0					42298000.0	42298000.0											1.03	1.13	-0.1	-8.8496	
2025-09-30	20575.44972	0.031655	100021000.0	650000.0	650000.0	40319000.0		327330000.0	100671000.0	100671000.0	-54910000.0	59034000.0	4124000.0	39689575.44972	40319000.0	336687000.0	95967000.0	222622889.0	222622889.0	0.18	0.18	40319000.0	40319000.0	40319000.0	40319000.0	40319000.0	1318000.0	41637000.0	580000.0	-70000.0	650000.0	-54910000.0	59034000.0	4124000.0	95967000.0	9357000.0	-5977000.0	15334000.0	15334000.0	15334000.0	105324000.0	327330000.0	432654000.0	432654000.0	222622889.0	222622889.0	3050296000.0	3239723000.0	2213236000.0	5565411000.0	161612000.0	2213236000.0		2325688000.0	5271850000.0	2325216000.0	-472000.0	2325688000.0	409000.0	409000.0	493875000.0	1608781000.0	222623000.0	222623000.0	3385216000.0	2946921000.0	759000.0	2946162000.0		2946162000.0	438295000.0			293561000.0		293561000.0		144734000.0		144734000.0	144734000.0			5710432000.0	5110525000.0	10835000.0			8778000.0	8778000.0	8778000.0	112452000.0	112452000.0	4978460000.0		4978460000.0		4978460000.0			599907000.0	408257000.0									191650000.0	2223000.0	189427000.0	104397000.0	-348693000.0	0.0	-3236000.0	189427000.0	476717000.0	-287290000.0	-428837000.0	-428837000.0	-80144000.0	-80144000.0	-348693000.0	-348693000.0	-348693000.0	0.0	33914000.0	33914000.0	0.0	0.0	33914000.0	37150000.0	-3236000.0	107633000.0															105324000.0	432654000.0	327330000.0	327330000.0	95967000.0	15334000.0		9357000.0		-54910000.0	4124000.0	59034000.0				84156000.0	41637000.0	1318000.0		40319000.0		100671000.0	184827000.0	40319000.0	5710432000.0	599907000.0	189427000.0	189427000.0			5110525000.0	4978460000.0				112452000.0		8778000.0	2223000.0	408257000.0		3385216000.0	438295000.0				293561000.0	2946921000.0		2946162000.0	293561000.0		3239723000.0	144734000.0		2325688000.0		1497969000.0	222623000.0	222623000.0	107633000.0					82830000.0	3236000.0				33914000.0	-428837000.0					80144000.0	80144000.0											0.19	0.24	-0.05	-20.8333	
2025-06-30	27026.977803	0.01925	135926000.0	1404000.0	1404000.0	77543000.0		336547000.0	137330000.0	137330000.0	-54393000.0	58265000.0	4613000.0	76166026.977803	77543000.0	348199000.0	131878000.0	222623000.0	222623000.0	0.35	0.35	77543000.0	77543000.0	77543000.0	77543000.0	77543000.0	1522000.0	79065000.0	1580000.0	176000.0	1404000.0	-54393000.0	58265000.0	4613000.0	131878000.0	11652000.0	135000.0	11517000.0	11517000.0	11517000.0	143530000.0	336547000.0	480077000.0	480077000.0	222622889.0	222622889.0	3110218000.0	3587068000.0	2254240000.0	5953627000.0	414359000.0	2254240000.0	133000.0	2366692000.0	5635997000.0	2366220000.0	-472000.0	2366692000.0	1588000.0	1588000.0	533700000.0	1608781000.0	222623000.0	222623000.0	3743308000.0	3269831000.0	526000.0	3269305000.0	0.0	3269305000.0	473477000.0			317763000.0	133000.0	317630000.0	317630000.0	155714000.0	126117000.0	29597000.0	155847000.0	29597000.0		6109528000.0	5221692000.0	22000.0		12949000.0	9481000.0	9481000.0	9481000.0	112452000.0	112452000.0	5086788000.0	-982335000.0	6069123000.0	157851000.0	5911272000.0			887836000.0	22686000.0	1963000.0	229079000.0	132153000.0	96926000.0	155403000.0	24565000.0	11780000.0	119058000.0	478705000.0	1988000.0	476717000.0	151612000.0	-1357895000.0	1286534000.0	-1936000.0	476717000.0	436538000.0	40179000.0	-111433000.0	-111433000.0	-40072000.0	-40072000.0	-71361000.0	-71361000.0	-1357895000.0	1286534000.0	-1936000.0	-1936000.0	0.0	0.0	-1936000.0	0.0	-1936000.0	153548000.0															143530000.0	480077000.0	336547000.0	336547000.0	131878000.0	11517000.0		11652000.0		-55630000.0	4759000.0	58265000.0				82170000.0	79065000.0	1522000.0		77543000.0		137330000.0	219500000.0	77543000.0	6109528000.0	887836000.0	476717000.0	476717000.0	229079000.0	119058000.0	5221692000.0	5086678000.0				112452000.0		9481000.0	1988000.0	409131000.0		3743308000.0	473477000.0				317630000.0	3269831000.0	133000.0	3269305000.0	317630000.0		3586935000.0	155847000.0		2366692000.0		533700000.0	222623000.0	222623000.0	153547000.0						1936000.0				-1936000.0	-111432000.0					40072000.0	40072000.0											0.36	0.55	-0.19	-34.5455	
2025-03-31	-28635.938563	0.056705	98592000.0	-505000.0	-505000.0	33287000.0		321578000.0	98087000.0	98087000.0	-58315000.0	62799000.0	4484000.0	33763364.061437	33287000.0	334699000.0	93167000.0	222622889.0	222622889.0	0.15	0.15	33287000.0	33287000.0	33287000.0	33287000.0	33287000.0	2001000.0	35288000.0	436000.0	941000.0	-505000.0	-58315000.0	62799000.0	4484000.0	93167000.0	13121000.0	-227000.0	13348000.0	13348000.0	13348000.0	106288000.0	321578000.0	427866000.0	427866000.0	222622889.0	222622889.0	3234035000.0	3670573000.0	2216862000.0	5999887000.0	377666000.0	2216862000.0		2329314000.0	5680487000.0	2328842000.0	-472000.0	2329314000.0	1681000.0	1681000.0	496229000.0	1608781000.0	222623000.0	222623000.0	3809537000.0	3351639000.0	466000.0	3351173000.0		3351173000.0	457898000.0			319400000.0		319400000.0		138498000.0		138498000.0	138498000.0			6138379000.0	5302815000.0	15546000.0			9305000.0	9305000.0	9305000.0	112452000.0	112452000.0	5165512000.0		5165512000.0		5165512000.0			835564000.0	397149000.0									438415000.0	1877000.0	436538000.0	137461000.0	-217471000.0	147181000.0	-466000.0	436538000.0	413532000.0	23006000.0	-114815000.0	-114815000.0	-44525000.0	-44525000.0	-70290000.0	-70290000.0	-217471000.0	147181000.0	-106000.0	-106000.0	360000.0	360000.0	-466000.0	0.0	-466000.0	137927000.0															106288000.0	427866000.0	321578000.0	321578000.0	93167000.0	13348000.0		13121000.0		-58315000.0	4484000.0	62799000.0				81261000.0	35288000.0	2001000.0		33287000.0		98087000.0	179348000.0	33287000.0	6138379000.0	835564000.0	436538000.0	436538000.0			5302815000.0	5165512000.0				112452000.0		9305000.0	1877000.0	397149000.0		3809537000.0	457898000.0				319400000.0	3351639000.0		3351173000.0	319400000.0		3670573000.0	138498000.0		2329314000.0		496229000.0	222623000.0	222623000.0	137926000.0						466000.0				-105000.0	-114815000.0					44525000.0	44525000.0											0.18	0.22	-0.04	-18.1818	
2024-12-31							83148000.0																																														1604000.0																451000.0			2631000.0	2631000.0		1153000.0		460318000.0		74221000.0			35370000.0	5985000.0				0.0	22422000.0							-819038000.0		154603000.0		11395000.0	0.0			1997000.0	237222000.0	136997000.0	100225000.0	151932000.0	25776000.0	8532000.0	117624000.0																											167848000.0	9389000.0	-66889000.0	39856000.0	63020000.0	83148000.0	83148000.0	83148000.0	-25222000.0	-279000.0	-7803000.0	-17850000.0	66733000.0		113578000.0	425644000.0	312066000.0	312066000.0	129716000.0	1709000.0		-16138000.0		-72219000.0	3857000.0	75129000.0				83148000.0	66519000.0	-214000.0		66733000.0		141648000.0	224796000.0	66733000.0	6220807000.0	826013000.0	413532000.0	413532000.0	237222000.0	151932000.0	5394794000.0	5248132000.0				112452000.0		11788000.0	4027000.0	256522000.0		3880626000.0	595653000.0	5985000.0			461471000.0	3284973000.0	1604000.0	3284070000.0	460318000.0		3745992000.0	128197000.0		2340653000.0		507467000.0	222623000.0	222623000.0	167848000.0					83148000.0	4321000.0				45179000.0	-120380000.0					75692000.0	75692000.0											0.2	0.2	0.0	0.0	
2024-09-30							84156000.0																																														1829000.0																686000.0						1143000.0		402152000.0										0.0										1643000.0																																								164553000.0	11321000.0	-74453000.0	10992000.0	69305000.0	84156000.0	84156000.0	84156000.0	2775000.0	-42000.0	2817000.0	0.0	60457000.0		151731000.0	490318000.0	338587000.0	338587000.0	144811000.0	6965000.0		6920000.0		-77385000.0	5054000.0	82439000.0				84156000.0	65253000.0	4796000.0		60457000.0		147692000.0	231848000.0	60457000.0	6283542000.0	782245000.0	320885000.0	320885000.0			5501297000.0	5355743000.0				112452000.0		11508000.0	5430000.0	455930000.0		3935574000.0	547679000.0				403295000.0	3387895000.0	1829000.0	3386743000.0	402152000.0		3790724000.0	144384000.0		2348440000.0		516426000.0	222623000.0	222623000.0	164553000.0					84156000.0	2434000.0				-2434000.0	-200470000.0					138026000.0	138026000.0											0.34	0.38	-0.04	-10.5263	
2024-06-30																																																																																																																																																							216998000.0	556026000.0	339028000.0	339028000.0	255919000.0	12566000.0		-38921000.0		-67733000.0	5647000.0	73380000.0				83714000.0	189115000.0	1541000.0		187574000.0		262495000.0	346209000.0	187574000.0	6451415000.0	859268000.0	359236000.0	359236000.0	286397000.0	186519000.0	5592147000.0					112452000.0		11467000.0	8247000.0	18980000.0		4025626000.0	621808000.0	111128000.0			456170000.0	3403818000.0	2072000.0	3402413000.0	455040000.0		3859525000.0	54510000.0		2426261000.0		593996000.0	222623000.0	222623000.0	232677000.0					83714000.0	9434000.0				198916000.0	-369708000.0					138026000.0	138026000.0							2976000.0				0.62	0.67	-0.05	-7.4627	
2024-03-31																																																																																																																																																							223371000.0	578397000.0	355026000.0	355026000.0	251267000.0	14846000.0		-27896000.0		-69149000.0	2227000.0	71376000.0				88012000.0	182367000.0	1548000.0		180819000.0		253743000.0	341755000.0	180819000.0	6623894000.0	839705000.0	297351000.0	297351000.0	245222000.0	143939000.0	5784189000.0					112452000.0		13600000.0	6159000.0	536195000.0		4247439000.0	479107000.0	7801000.0			325646000.0	3768332000.0	2304000.0	3766684000.0	324530000.0		4093518000.0	153461000.0		2376927000.0		1548542000.0	222623000.0	222623000.0	171333000.0					88012000.0	899059000.0		-28249000.0		-725059000.0	542755000.0					82370000.0	82370000.0							11247000.0				0.62	0.67	-0.05	-7.4627	
2023-12-31																																																																																																																																																							151938001.0	415004000.0	263065999.0	263065999.0	138049000.0	13889000.0		13889000.0		-43125000.0	5366000.0	55419000.0				60018000.0	118479000.0	226000.0		118371000.0		138049000.0	198067000.0	118371000.0	5882766000.0	727926000.0	308322000.0	308322000.0	245222000.0	112735000.0	5154839999.0					112452000.0		12386000.0	7432000.0	412172000.0		3605420000.0	409054000.0	7801000.0			263103000.0	3196366000.0	2534000.0	3194464000.0	261999000.0		3458997000.0	145951000.0		2277818000.0		1450093000.0	222623000.0	222622889.0	100494000.0					60018000.0	1477907000.0					1148512000.0					66787000.0	66787000.0											0.46	0.45	0.01	2.2222	
