Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-04-21 09:00:00-04:00	6.86		
2026-01-29 07:00:00-05:00	5.75	5.8	0.94
2025-10-21 07:00:00-04:00	6.36	6.95	9.31
2025-07-22 07:00:00-04:00	6.51	1.46	-77.59
2025-04-22 17:00:00-04:00	6.35	7.28	14.69
2025-01-28 07:00:00-05:00	6.6	2.22	-66.39
2024-10-22 07:00:00-04:00	6.44	6.84	6.17
2024-07-23 07:00:00-04:00	6.46	6.85	6.04
2024-04-23 07:00:00-04:00	5.85	6.39	9.29
2024-01-23 07:00:00-05:00	7.25	7.58	4.51
2023-10-17 07:00:00-04:00	6.64	6.77	1.92
2023-07-18 07:00:00-04:00	6.45	6.63	2.74
2023-04-18 07:00:00-04:00	6.04	6.61	9.4
2023-01-24 07:00:00-05:00	7.36	7.4	0.54
2022-10-18 07:00:00-04:00	6.72	6.87	2.2
2022-07-19 07:00:00-04:00	1.74	1.16	-33.22
2022-04-19 07:00:00-04:00	6.17	6.44	4.36
2022-01-25 07:00:00-05:00	7.2	7.47	3.82
2021-10-26 07:00:00-04:00	1.99	2.21	11.27
2021-07-26 07:00:00-04:00	6.53	6.52	-0.17
2021-04-20 07:00:00-04:00	6.32	6.56	3.78
2021-01-26 07:00:00-05:00	6.4	6.38	-0.37
2020-10-20 07:00:00-04:00	6.09	6.05	-0.59
2020-07-21 07:00:00-04:00	5.71	5.79	1.42
2020-04-21 08:00:00-04:00	5.81	6.08	4.66
