Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-11-04 15:00:00-05:00	6.35		
2026-08-05 16:00:00-04:00	3.39	2.37	-29.98
2026-05-05 16:00:00-04:00	4.26	4.38	2.9
2026-02-26 16:00:00-05:00	4.33	4.38	1.17
2025-11-05 16:00:00-05:00	3.67	3.29	-10.27
2025-08-07 06:00:00-04:00	-0.18	-1.08	-496.58
2025-05-08 07:00:00-04:00	0.71	1.72	143.13
2025-02-28 06:00:00-05:00	-0.2	0.47	331.14
2024-11-14 07:00:00-05:00	-0.13	0.99	860.38
2024-08-13 07:00:00-04:00	-1.13	7.6	769.6
2024-05-13 16:00:00-04:00	0.83	4.84	483.13
2024-03-13 20:00:00-04:00	-0.19	3.08	1721.05
