Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-04-21 09:00:00-04:00	1.51		
2026-01-27 06:00:00-05:00	1.47	1.55	5.34
2025-10-21 06:00:00-04:00	1.41	1.7	20.64
2025-07-22 06:00:00-04:00	1.1	1.22	11.22
2025-04-22 06:00:00-04:00	1.37	1.47	7.52
2025-01-28 07:00:00-05:00	1.38	1.54	11.8
2024-10-22 06:00:00-04:00	1.34	1.45	8.31
2024-07-25 06:00:00-04:00	1.3	1.41	8.61
2024-04-23 06:00:00-04:00	1.23	1.34	8.6
2024-01-23 06:00:00-05:00	1.25	1.29	3.46
2023-10-24 06:00:00-04:00	1.22	1.25	2.64
2023-07-25 06:00:00-04:00	1.18	1.29	9.73
2023-04-25 06:00:00-04:00	0.95	0.97	2.25
2023-01-24 06:00:00-05:00	1.25	1.27	1.83
2022-10-25 06:00:00-04:00	1.14	1.21	6.33
2022-07-26 06:00:00-04:00	1.11	1.16	4.16
2022-04-26 06:00:00-04:00	1.02	1.15	13.11
2022-01-25 06:00:00-05:00	1.02	1.08	5.72
2021-10-26 06:00:00-04:00	1.09	1.26	16.0
2021-07-27 06:00:00-04:00	0.93	1.03	10.91
2021-04-27 06:00:00-04:00	0.83	0.9	8.15
2021-01-26 06:00:00-05:00	0.69	0.74	6.82
2020-10-27 06:00:00-04:00	0.5	0.58	15.79
2020-07-28 06:00:00-04:00	0.12	0.4	231.51
2020-05-07 07:00:00-04:00	1.33	1.78	33.99
