	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Discontinuous Operations	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Business	Other Special Charges	Write Off	Impairment Of Capital Assets	Restructuring And Mergern Acquisition	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Amortization	Amortization Of Intangibles Income Statement	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Treasury Stock	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Employee Benefits	Non Current Pension And Other Postretirement Benefit Plans	Non Current Deferred Liabilities	Non Current Deferred Taxes Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Debt	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Other Investments	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Machinery Furniture Equipment	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Assets Held For Sale Current	Restricted Cash	Inventory	Finished Goods	Work In Process	Raw Materials	Receivables	Other Receivables	Taxes Receivable	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Capital Stock	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Cash Flow From Discontinued Operation	Financing Cash Flow	Cash From Discontinued Financing Activities	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Investing Cash Flow	Cash From Discontinued Investing Activities	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash From Discontinued Operating Activities	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Other Non Cash Items	Stock Based Compensation	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Operating Gains Losses	Pension And Employee Benefit Expense	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2026-06-30																	136800000.0	135900000.0	1.05	1.05																																																																																																																																																																							639000000	1819000000	1180000000	1180000000	256000000	269000000	42000000	383000000		-14000000.0	27000000.0	41000000				68000000	266000000	75000000		191000000.0		205000000	273000000	143000000	21061000000	4856000000	1740000000	1740000000	1210000000	1751000000	16205000000			2789000000	2789000000	7840000000		981000000.0		155000000		7180000000	2001000000	978000000				5179000000		3125000000			3125000000	970000000	1359000000.0	13769000000		-24326000000	1000000	137200000
2026-03-31	-5130000.0	0.171	406000000.0	-30000000.0	-30000000.0	147000000.0	155000000.0	992000000.0	376000000.0	221000000.0	-30000000.0	40000000.0	10000000.0	171870000.0	161000000.0	1449000000.0	137599999.0	136699999.0	1.17	1.17	161000000.0	161000000.0	161000000.0	-3000000.0	164000000.0	14000000.0	150000000.0	31000000.0	181000000.0	-21000000.0	10000000.0	-40000000.0					40000000.0	-1000000.0	10000000.0	-30000000.0	40000000.0	10000000.0	232000000.0	370000000.0	68000000.0	68000000.0	68000000.0	68000000.0	47000000.0	255000000.0	602000000.0	1079000000.0	1681000000.0	1681000000.0	136622472.0	136622472.0	2462000000.0	3172000000.0	3315000000.0	17212000000.0	3540000000.0	3315000000.0		14040000000.0	17172000000.0	14238000000.0	198000000.0	14040000000.0	-612000000.0	-612000000.0		-24201000000.0	38849000000.0	4000000.0	4000000.0	7211000000.0	5108000000.0	1184000000.0	414000000.0	414000000.0	378000000.0	378000000.0	3132000000.0		3132000000.0	2103000000.0	299000000.0	40000000.0	40000000.0	1764000000.0	833000000.0	931000000.0	49000000.0	49000000.0	882000000.0	21449000000.0	15806000000.0	939000000.0	264000000.0	264000000.0	452000000.0		10725000000.0	2860000000.0	7865000000.0	3426000000.0	-3634000000.0	7060000000.0						5643000000.0	130000000.0	1853000000.0	42000000.0	1209000000.0	730000000.0	232000000.0	247000000.0	1699000000.0			1699000000.0			710000000.0	710000000.0	51000000.0			84000000.0	-102000000.0	753000000.0	760000000.0	-5000000.0	-2000000.0		-47000000.0	-3000000.0	-44000000.0	-26000000.0	-82000000.0	-82000000.0	84000000.0		84000000.0	-20000000.0	-20000000.0			-108000000.0	-6000000.0	-102000000.0								-102000000.0	153000000.0	-79000000.0	232000000.0	-104000000.0	-73000000.0	-6000000.0	-6000000.0	-6000000.0	-48000000.0	23000000.0	25000000.0	13000000.0		-12000000.0	-12000000.0	155000000.0	155000000.0	5000000.0	3000000.0	2000000.0		150000000.0		602000000	1681000000	1079000000	1079000000	186000000	255000000	47000000	416000000		-30000000.0	10000000.0	40000000				68000000	181000000	31000000		150000000.0		151000000	219000000	161000000	21449000000	5643000000	752000000	752000000	1209000000	1699000000	15806000000			2860000000	2860000000	7865000000		452000000.0		1983000000		7211000000	2103000000	882000000			40000000.0	5108000000		3132000000	40000000.0		3172000000	1132000000	1184000000.0	14040000000		-24201000000	4000000	137600000
2025-12-31	-4462059.620596	0.120596	-738000000.0	-37000000.0	-37000000.0	-655000000.0	-125000000.0	-816000000.0	-775000000.0	-691000000.0	-17000000.0	47000000.0	30000000.0	-622462059.620596	-126000000.0	-1219000000.0	137899999.0	137899999.0	-0.9	-0.9	-126000000.0	-126000000.0	-126000000.0	-6000000.0	-120000000.0	529000000.0	-649000000.0	-89000000.0	-738000000.0	-69000000.0	5000000.0	-19000000.0	-1000000.0				-96000000.0	-37000000.0	-18000000.0	-17000000.0	47000000.0	30000000.0	-652000000.0	-403000000.0	-84000000.0	-84000000.0	-84000000.0	-84000000.0	-211000000.0	-108000000.0	-1055000000.0	-816000000.0	-1871000000.0	-1871000000.0	136398481.0	136398481.0	2470000000.0	3194000000.0	3068000000.0	17104000000.0	3270000000.0	3068000000.0	9000000.0	13919000000.0	17044000000.0	14103000000.0	184000000.0	13919000000.0	-525000000.0	-525000000.0		-24278000000.0	38718000000.0	4000000.0	4000000.0	7472000000.0	5167000000.0	1196000000.0	432000000.0	432000000.0	405000000.0	405000000.0	3134000000.0	9000000.0	3125000000.0	2305000000.0	314000000.0	60000000.0	60000000.0	1931000000.0	882000000.0	1049000000.0	54000000.0	54000000.0	995000000.0	21575000000.0	16000000000.0	971000000.0	282000000.0	282000000.0	432000000.0	432000000.0	10851000000.0	2936000000.0	7915000000.0	3464000000.0	-3565000000.0	7029000000.0	268000000.0	4761000000.0	1593000000.0	407000000.0	0.0	5575000000.0	121000000.0	1856000000.0	42000000.0	1172000000.0	704000000.0	219000000.0	249000000.0	1669000000.0	466000000.0	293000000.0	910000000.0	-18000000.0	928000000.0	715000000.0	715000000.0	-544000000.0	-500000000.0	-4134000000.0	17000000.0		760000000.0	3826000000.0	-12000000.0	-3054000000.0	385000000.0	-2905000000.0		-2905000000.0	3484000000.0	-82000000.0	-82000000.0	-483000000.0	-500000000.0	17000000.0	-5824000000.0		-5884000000.0	-4134000000.0	166000000.0		166000000.0	10000000.0				6000000.0		6000000.0	150000000.0	-700000000.0		-700000000.0	-77000000.0	-222000000.0	-77000000.0	-77000000.0	-77000000.0	61000000.0	161000000.0	76000000.0	-5000000.0				-125000000.0	-125000000.0	42000000.0	-6000000.0	38000000.0	-86000000.0	-649000000.0		527000000	1693000000	1166000000	1166000000	227000000	262000000	38000000	300000000		-17000000.0	62000000.0	61000000				159000000	-66000000	42000000		-649000000.0		-5000000	154000000	-126000000	21575000000	5575000000	757000000	757000000	1172000000	1669000000	16000000000	3464000000.0		2936000000	2936000000	7915000000		432000000.0		1977000000		7472000000	2305000000	995000000			60000000.0	5167000000	9000000.0	3134000000	60000000.0		3194000000	1196000000	1196000000.0	13919000000		-24278000000	4000000	137900000
2025-09-30	-9802000.0	0.058	1041000000.0	-169000000.0	-169000000.0	292000000.0	446000000.0	1552000000.0	872000000.0	426000000.0	-72000000.0	99000000.0	27000000.0	451198000.0	-123000000.0	2525000000.0	140033333.0	139666666.0	-0.87	-0.87	-123000000.0	-123000000.0	-123000000.0	-16000000.0	-107000000.0	-415000000.0	308000000.0	19000000.0	327000000.0	-148000000.0	7000000.0	-155000000.0	4000000.0				159000000.0	14000000.0	-14000000.0	-72000000.0	99000000.0	27000000.0	547000000.0	648000000.0	121000000.0	121000000.0	121000000.0	121000000.0	140000000.0	387000000.0	1195000000.0	1877000000.0	3072000000.0	3072000000.0	139622445.0	139622445.0	6944000000.0	8899000000.0	2138000000.0	31793000000.0	5016000000.0	2138000000.0		22894000000.0	29943000000.0	23341000000.0	447000000.0	22894000000.0	-835000000.0	-835000000.0		-23728000000.0	47453000000.0	4000000.0	4000000.0	14703000000.0	9698000000.0	1377000000.0	560000000.0	560000000.0	712000000.0	712000000.0	7049000000.0		7049000000.0	5005000000.0	251000000.0	1850000000.0	1850000000.0	2904000000.0	1103000000.0	1801000000.0	142000000.0	142000000.0	1659000000.0	38044000000.0	28023000000.0	923000000.0	318000000.0	318000000.0	866000000.0		20756000000.0	4535000000.0	16221000000.0	5160000000.0	-4921000000.0	10081000000.0						10021000000.0	210000000.0	1813000000.0	1830000000.0	1839000000.0	979000000.0	428000000.0	432000000.0	2374000000.0			2374000000.0			1955000000.0	1955000000.0	737000000.0	0.0	0.0	11000000.0	-372000000.0	3826000000.0	1879000000.0	-21000000.0	1968000000.0	-294000000.0	1528000000.0		1528000000.0	-61000000.0	-172000000.0	-172000000.0	11000000.0	0.0	11000000.0	1750000000.0		1750000000.0	0.0	-375000000.0		-375000000.0	-3000000.0							-311000000.0	1109000000.0		1109000000.0	52000000.0	64000000.0	157000000.0	157000000.0	157000000.0	-20000000.0	-149000000.0	28000000.0	21000000.0		-34000000.0	-34000000.0	446000000.0	446000000.0	-47000000.0	7000000.0	-37000000.0	-17000000.0	643000000.0		1074000000	3072000000	1998000000	1998000000	547000000	387000000	140000000	527000000		-72000000.0	27000000.0	99000000				257000000	327000000	19000000		308000000.0		426000000	683000000	-123000000	38044000000	10021000000	3785000000	3785000000	1839000000	2374000000	28023000000	5512000000.0		4535000000	4535000000	16221000000		866000000.0		2023000000		14703000000	5005000000	1659000000			1926000000.0	9698000000		7049000000	1850000000.0		9260000000	1274000000	1377000000.0	22894000000		-23728000000	4000000	140033333
2025-06-30	-17640000.0	0.21	412000000.0	-84000000.0	-84000000.0	13000000.0	166000000.0	1051000000.0	328000000.0	162000000.0	-63000000.0	84000000.0	21000000.0	79360000.0	59000000.0	1532000000.0	139900000.0	139600000.0	0.42	0.42	59000000.0	59000000.0	59000000.0	-11000000.0	70000000.0	46000000.0	24000000.0	54000000.0	78000000.0	-76000000.0	-1000000.0	-43000000.0				0.0	43000000.0	9000000.0	-41000000.0	-63000000.0	84000000.0	21000000.0	217000000.0	389000000.0	74000000.0	74000000.0	74000000.0	74000000.0	53000000.0	262000000.0	606000000.0	1143000000.0	1749000000.0	1749000000.0	139563271.0	139563271.0	5338000000.0	7175000000.0	1661000000.0	30239000000.0	1997000000.0	1661000000.0		23064000000.0	28390000000.0	23516000000.0	452000000.0	23064000000.0	-763000000.0	-763000000.0		-23606000000.0	47429000000.0	4000000.0	4000000.0	13043000000.0	8190000000.0	1445000000.0	575000000.0	575000000.0	844000000.0	844000000.0	5326000000.0		5326000000.0	4853000000.0		1849000000.0	1849000000.0	3004000000.0	1147000000.0	1857000000.0	158000000.0	158000000.0	1699000000.0	36559000000.0	29709000000.0	1032000000.0	252000000.0	252000000.0	1112000000.0		21403000000.0	5163000000.0	16240000000.0	5910000000.0	-5524000000.0	11434000000.0						6850000000.0	178000000.0		5000000.0	2295000000.0	1250000000.0	546000000.0	499000000.0	2535000000.0			2535000000.0			1837000000.0	1837000000.0	-250000000.0	0.0		0.0	-50000000.0	1879000000.0	1803000000.0	31000000.0	45000000.0	-41000000.0	-167000000.0		-201000000.0	-30000000.0	-171000000.0	-171000000.0	0.0	0.0	0.0	0.0				82000000.0		-45000000.0	5000000.0							-50000000.0	-200000000.0		74000000.0	-164000000.0	17000000.0	-11000000.0	-11000000.0	-11000000.0	-2000000.0	-168000000.0	0.0	15000000.0	0.0	14000000.0	14000000.0	166000000.0	166000000.0	19000000.0	1000000.0	-9000000.0	27000000.0	24000000.0		1076000000	3257000000	2181000000	2181000000	529000000	405000000	142000000	547000000		-64000000.0	20000000.0	84000000				296000000	306000000	68000000		238000000.0		390000000	686000000	59000000	36559000000	6850000000	1837000000	1837000000	2295000000	2357000000	29709000000	6320000000.0		5163000000	5163000000	16240000000		1112000000.0		361000000		13043000000	4853000000	1699000000			1849000000.0	8190000000		5326000000	1849000000.0		7175000000	1147000000	1445000000.0	23064000000		-23606000000	4000000	139900000
2025-03-31	-2450000.0	0.175	354000000.0	-14000000.0	-14000000.0	72000000.0	160000000.0	984000000.0	340000000.0	180000000.0	-63000000.0	83000000.0	20000000.0	83550000.0	-589000000.0	1428000000.0					-589000000.0	-589000000.0	-589000000.0	-8000000.0	-581000000.0	-661000000.0	80000000.0	17000000.0	97000000.0	-24000000.0	5000000.0	-89000000.0	0.0		47000000.0	768000000.0	89000000.0	-15000000.0	75000000.0	-63000000.0	83000000.0	20000000.0	184000000.0	359000000.0	75000000.0	75000000.0	75000000.0	75000000.0	50000000.0	234000000.0	543000000.0	1069000000.0	1612000000.0	1612000000.0	139499499.0	139499499.0	5412000000.0	7174000000.0	1636000000.0	30008000000.0	1832000000.0	1636000000.0		22834000000.0	28159000000.0	23268000000.0	434000000.0	22834000000.0	-1263000000.0	-1263000000.0	0.0	-23665000000.0	47758000000.0	4000000.0	4000000.0	12713000000.0	8081000000.0	1328000000.0	531000000.0	531000000.0	897000000.0	897000000.0	5325000000.0		5325000000.0	4632000000.0		1849000000.0	1849000000.0	2783000000.0	947000000.0	1836000000.0	179000000.0	179000000.0	1657000000.0	35981000000.0	29517000000.0	1223000000.0	245000000.0	245000000.0	1071000000.0		21198000000.0	5251000000.0	15947000000.0	5780000000.0	-5358000000.0	11138000000.0						6464000000.0	164000000.0		5000000.0	2242000000.0	1217000000.0	541000000.0	484000000.0	2291000000.0			2291000000.0			1762000000.0	1762000000.0	229000000.0	0.0		4000000.0	-122000000.0	1803000000.0	1892000000.0	13000000.0	-102000000.0	-31000000.0	-206000000.0	-17000000.0	-189000000.0	-21000000.0	-172000000.0	-172000000.0	4000000.0	0.0	4000000.0	0.0	0.0			-247000000.0	-127000000.0	-120000000.0	2000000.0				0.0	0.0		-122000000.0	351000000.0	274000000.0	77000000.0	-124000000.0	-22000000.0	-8000000.0	-8000000.0	-8000000.0	-49000000.0	-45000000.0	20000000.0	7000000.0	768000000.0	-5000000.0	-5000000.0	160000000.0	160000000.0	-61000000.0	1000000.0	16000000.0	-78000000.0	80000000.0		1000000000	3066000000	2066000000	2066000000	494000000	369000000	137000000	506000000		-62000000.0	21000000.0	83000000				293000000	-429000000	119000000		-548000000.0		-346000000	-53000000	-589000000	35981000000	6464000000	1762000000	1762000000	2242000000	2291000000	29517000000	6185000000.0		5251000000	5251000000	15947000000		1071000000.0		169000000		12713000000	4632000000	1657000000			1849000000.0	8081000000		5325000000	1849000000.0		7174000000	947000000	1328000000.0	22834000000		-23665000000	4000000	139500000
2024-12-31																																	15000000.0	0.0																													9000000.0								0.0													9000000.0			1731000000.0															418000000.0							355000000.0	4676000000.0	1516000000.0	384000000.0	0.0			16380000000.0							352000000.0	201000000.0		-22000000.0	811000000.0				0.0	0.0		-155000000.0					-5000000.0								0.0			0.0	0.0	0.0				23000000.0	0.0	0.0	0.0	14000000.0		6000000.0															-76000000.0	-76000000.0						290000000.0			979000000	3092000000	2113000000	2113000000	478000000	799000000	138000000	501000000		-66000000.0	18000000.0	84000000				299000000	43000000	104000000		-61000000.0		127000000	426000000	-118000000	36636000000	6364000000	1850000000	1850000000	2130000000	2199000000	30272000000	6171000000.0		5370000000	5370000000	16567000000		1081000000.0		185000000		12843000000	4801000000	1720000000			1848000000.0	8042000000	9000000.0	5323000000	1848000000.0		7171000000	1031000000	1281000000.0	23350000000		-23076000000	4000000	139433333
2024-09-30																																																																																																																																																																																											991000000	2862000000	1871000000	1871000000	496000000	387000000	127000000	495000000		-73000000.0	14000000.0	87000000				267000000	552000000	99000000		480000000.0		639000000	906000000	455000000	37461000000	6439000000	1645000000	1645000000	2237000000	2319000000	31022000000	6219000000.0		5579000000	5579000000	16868000000		1120000000.0		238000000		12804000000	2825000000	1702000000			92000000.0	9979000000		7121000000			7121000000	985000000	1222000000.0	24212000000		-22959000000	4000000	139833333
2024-06-30																																																																																																																																																																																											1024000000	3171000000	2147000000	2147000000	472000000	415000000	134000000	552000000		-78000000.0	21000000.0	99000000				298000000	296000000	120000000		176000000.0		395000000	693000000	178000000	36553000000	6163000000	1503000000	1503000000	2164000000	2281000000	30390000000			5477000000	5477000000	16558000000		1112000000.0		215000000		12789000000	2786000000	1655000000			91000000.0	10003000000		7119000000			7617000000	882000000	1254000000.0	23335000000		-23414000000	4000000	139766667
2024-03-31																																																																																																																																																																																											864000000	2931000000	2067000000	2067000000	355000000	384000000	125000000	509000000		-76000000.0	20000000.0	96000000				291000000	267000000	84000000		183000000.0		363000000	654000000	189000000	37717000000	7067000000	1934000000	1934000000	2175000000	2365000000	30650000000			5640000000	5640000000	16613000000		1086000000.0		593000000		13705000000	3032000000	1624000000			93000000.0	10673000000		7692000000			7692000000	1255000000	1250000000.0	23584000000		-23519000000	4000000	141433333
