	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Total Other Finance Cost	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Selling And Marketing Expense	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Current Liabilities	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Goodwill And Other Intangible Assets	Other Intangible Assets	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Construction In Progress	Other Properties	Machinery Furniture Equipment	Properties	Current Assets	Other Current Assets	Receivables	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Proceeds From Stock Option Exercised	Net Common Stock Issuance	Common Stock Payments	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Prepaid Assets	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Provisionand Write Offof Assets	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations
2026-06-30	2400.0	0.4	131711000.0	6000.0	6000.0	64394000.0	30140000.0	184333000.0	131717000.0	101577000.0	11508000.0		11508000.0	64390400.0	64394000.0	613480000.0	101577000.0	469948000.0	468359000.0	0.14	0.14	64394000.0	64394000.0	64394000.0	64394000.0	64394000.0	48697000.0	113091000.0	6000.0	6000.0	11508000.0			11508000.0	101577000.0	429147000.0	140742000.0	288405000.0	174404000.0	114001000.0	114001000.0	530724000.0	184333000.0	715057000.0	715057000.0	470097769.0	470097769.0	434110000.0	2574352000.0	2574352000.0	2022151000.0	2574352000.0	434110000.0	2574352000.0	2574352000.0	2574352000.0	2574352000.0	-719488000.0	3293840000.0	0.0	0.0	0.0	3190094000.0	396418000.0	43230000.0	353188000.0	353188000.0	2793676000.0	80922000.0	80922000.0	2712754000.0	150174000.0	2562580000.0	2562580000.0	5764446000.0	948619000.0	102540000.0	55700000.0	55700000.0			790379000.0		790379000.0			790379000.0			4815827000.0	129670000.0	3200824000.0	3200824000.0	-16097000.0	3216921000.0	1485333000.0	362354000.0	1122979000.0	821691000.0	301288000.0	135999000.0	-77817000.0	-17595000.0	1122979000.0	878377000.0	244602000.0	-73445000.0	-73445000.0	-10169000.0	14541000.0	-77817000.0	-77817000.0	164453000.0	164453000.0	166535000.0	283346000.0	-116811000.0	0.0	0.0	2288000.0	-13225000.0	-4370000.0	153594000.0	153594000.0	-54953000.0	-18567000.0	-156433000.0	-7877000.0	-148556000.0	-148556000.0	1223000.0	118824000.0	118824000.0	17965000.0	109556000.0	264000.0			30140000.0	30140000.0	64394000.0
2026-03-31	-423200.0	0.4	111820000.0	-1058000.0	-1058000.0	39997000.0	31431000.0	181970000.0	110762000.0	79331000.0	13369000.0	373000.0	13742000.0	40631800.0	39997000.0	622210000.0	66647000.0	476883000.0	474663000.0	0.08	0.08	39997000.0	39997000.0	39997000.0	39997000.0	39997000.0	38961000.0	78958000.0	-1058000.0	-1058000.0	13369000.0		373000.0	13742000.0	66647000.0	440240000.0	142720000.0	297520000.0	172179000.0	125341000.0	125341000.0	506887000.0	181970000.0	688857000.0	688857000.0	470097769.0	470097769.0	423575000.0	2453486000.0	2453486000.0	1971221000.0	2453486000.0	423575000.0	2453486000.0	2453486000.0	2453486000.0	2453486000.0	-724950000.0	3178436000.0	0.0	0.0	0.0	3280898000.0	390456000.0	44386000.0	346070000.0	346070000.0	2890442000.0	77505000.0	77505000.0	2812937000.0	179907000.0	2633030000.0	2633030000.0	5734384000.0	872721000.0	101351000.0	55700000.0	55700000.0			715670000.0		715670000.0			715670000.0			4861663000.0	132075000.0	3323673000.0	3323673000.0	-16225000.0	3339898000.0	1405915000.0	527538000.0	878377000.0	543741000.0	334636000.0	276035000.0	-163514000.0	-115770000.0	878377000.0	658175000.0	220202000.0	-172069000.0	-172069000.0	-10649000.0	2094000.0	-163514000.0	-163514000.0	466000.0	466000.0	116236000.0	238297000.0	-122061000.0	0.0	0.0	-112741000.0	-112741000.0	-3029000.0	391805000.0	391805000.0	182363000.0	-17117000.0	-288336000.0	-8951000.0	-279385000.0	-279385000.0	58531000.0	429285000.0	429285000.0	24942000.0	109046000.0	4026000.0			31431000.0	31431000.0	39997000.0
2025-12-31	-205618.805177	0.308274	289500000.0	-667000.0	-667000.0	186950000.0	31960000.0	163094000.0	288833000.0	256873000.0	14060000.0		14060000.0	187411381.194823	186950000.0	589918000.0	256873000.0	482725000.0	479994000.0	0.39	0.39	186950000.0	186950000.0	186950000.0	186950000.0	186950000.0	83316000.0	270266000.0	-667000.0	-667000.0	14060000.0			14060000.0	256873000.0	426824000.0	130595000.0	296229000.0	173596000.0	122633000.0	122633000.0	683697000.0	163094000.0	846791000.0	846791000.0	475923000.0	475923000.0	436330000.0	2464462000.0	2484391000.0	1995007000.0	2464462000.0	436330000.0	2484391000.0	2484391000.0	2484391000.0	2484391000.0	-590912000.0	3075303000.0	0.0	0.0	0.0	3668829000.0	402832000.0	42857000.0	359975000.0	359975000.0	3265997000.0	76355000.0	76355000.0	3189642000.0	181991000.0	3007651000.0	3007651000.0	6153220000.0	892216000.0	77726000.0	55700000.0	55700000.0	19929000.0	19929000.0	738861000.0	-262213000.0	1001074000.0	213978000.0	117857000.0	342042000.0	327197000.0	0.0	5261004000.0	187753000.0	3770194000.0	3770194000.0	-12199000.0	3782393000.0	1303057000.0	644882000.0	658175000.0	417259000.0	240916000.0	281607000.0	-422882000.0	-29982000.0	658175000.0	653134000.0	5041000.0	-426844000.0	-426844000.0	-17928000.0	13966000.0	-422882000.0	-422882000.0	120296000.0	120296000.0	150278000.0	278341000.0	-128063000.0	0.0	0.0	-26323000.0	-26323000.0	-3659000.0	311589000.0	311589000.0	-80575000.0	-16314000.0	204416000.0	33724000.0	170692000.0	170692000.0	14988000.0	-283665000.0	-283665000.0	13052000.0	112173000.0		49527000.0	49527000.0	31960000.0	31960000.0	186950000.0
2025-09-30	644997.576858	0.356352	192544000.0	1810000.0	1810000.0	115547000.0	33135000.0	162154000.0	194354000.0	161219000.0	16490000.0		16490000.0	114381997.576858	115547000.0	578214000.0	161219000.0	492984000.0	487729000.0	0.23	0.24	115547000.0	115547000.0	115547000.0	115547000.0	115547000.0	63972000.0	179519000.0	1810000.0	1810000.0	16490000.0			16490000.0	161219000.0	416060000.0	127893000.0	288167000.0	156830000.0	131337000.0	131337000.0	577279000.0	162154000.0	739433000.0	739433000.0	484728936.0	484728936.0	375977000.0	2600786000.0	2600786000.0	2125515000.0	2600786000.0	375977000.0	2600786000.0	2600786000.0	2600786000.0	2600786000.0	-364445000.0	2965231000.0	0.0	0.0	0.0	3339615000.0	344844000.0	41996000.0	302848000.0	302848000.0	2994771000.0	73129000.0	73129000.0	2921642000.0	160381000.0	2761261000.0	2761261000.0	5940401000.0	820115000.0	99990000.0	110514000.0	110514000.0			609611000.0		609611000.0			609611000.0			5120286000.0	196501000.0	3478338000.0	3478338000.0	-12210000.0	3490548000.0	1445447000.0	792313000.0	653134000.0	410301000.0	242833000.0	154996000.0	-310447000.0	-69690000.0	653134000.0	896387000.0	-243253000.0	-401166000.0	-401166000.0	-22678000.0	6198000.0	-310447000.0	-310447000.0	-66773000.0	-66773000.0	2917000.0	251293000.0	-248376000.0	0.0	0.0	-66336000.0	-66336000.0	-3354000.0	224686000.0	224686000.0	-180835000.0	-15959000.0	137503000.0	-2717000.0	140220000.0	140220000.0	-73293000.0	-229086000.0	-229086000.0	17039000.0	121316000.0	321000.0			33135000.0	33135000.0	115547000.0
2025-06-30	-520934.467459	0.323361	145092000.0	-1611000.0	-1611000.0	90129000.0	26704000.0	150980000.0	143481000.0	116777000.0	18035000.0		18035000.0	91219065.532541	90129000.0	577262000.0	116777000.0	495776000.0	490631000.0	0.18	0.18	90129000.0	90129000.0	90129000.0	90129000.0	90129000.0	43072000.0	133201000.0	-1611000.0	-1611000.0	18035000.0			18035000.0	116777000.0	426282000.0	134251000.0	292031000.0	161131000.0	130900000.0	130900000.0	543059000.0	150980000.0	694039000.0	694039000.0	489898494.0	489898494.0	343549000.0	2695833000.0	2695833000.0	2104731000.0	2695833000.0	343549000.0	2695833000.0	2695833000.0	2695833000.0	2695833000.0	-162356000.0	2858189000.0	0.0	0.0	0.0	3261976000.0	312992000.0	41857000.0	271135000.0	271135000.0	2948984000.0	72414000.0	72414000.0	2876570000.0	152477000.0	2724093000.0	2724093000.0	5957809000.0	904094000.0	95862000.0	228948000.0	228948000.0			579284000.0		579284000.0			579284000.0			5053715000.0	111546000.0	3254908000.0	3254908000.0	-12338000.0	3267246000.0	1687261000.0	790874000.0	896387000.0	644764000.0	251623000.0	116695000.0	-260843000.0	-48318000.0	896387000.0	1118545000.0	-222158000.0	-173605000.0	-173605000.0	-25596000.0	38595000.0	-260843000.0	-260843000.0	-213566000.0	-213566000.0	-165248000.0	181006000.0	-346254000.0	0.0	0.0	-45239000.0	-45239000.0	-3079000.0	165013000.0	165013000.0	-96658000.0	-17697000.0	161641000.0	-53186000.0	214827000.0	214827000.0	-38299000.0	-202303000.0	-202303000.0	15268000.0	128885000.0	685000.0			26704000.0	26704000.0	90129000.0
2025-03-31												376000.0																				-20132000.0	376000.0																																																																																																							492000.0					
2024-12-31																																																																																14621000.0	14621000.0		-215016000.0		156423000.0	34537000.0		233388000.0	0.0																																																				
